algorithm	dataset	purity
IKSHC	spambase	0.627371
PERCH	spambase	0.598560
IKSHC	spambase	0.628307
PERCH	spambase	0.606587
IKSHC	spambase	0.629522
PERCH	spambase	0.569328
IKSHC	spambase	0.626914
PERCH	spambase	0.593550
IKSHC	spambase	0.626164
PERCH	spambase	0.611957
IKSHC	spambase	0.634203
PERCH	spambase	0.572221
IKSHC	spambase	0.626002
PERCH	spambase	0.603693
IKSHC	spambase	0.626366
PERCH	spambase	0.594843
IKSHC	spambase	0.626319
PERCH	spambase	0.599733
IKSHC	spambase	0.626843
PERCH	spambase	0.604063
IKSHC	glass	0.518336
PERCH	glass	0.459388
IKSHC	glass	0.510825
PERCH	glass	0.410063
IKSHC	glass	0.496983
PERCH	glass	0.452493
IKSHC	glass	0.471010
PERCH	glass	0.462926
IKSHC	glass	0.553249
PERCH	glass	0.460433
IKSHC	glass	0.491951
PERCH	glass	0.505682
IKSHC	glass	0.478299
PERCH	glass	0.473066
IKSHC	glass	0.492259
PERCH	glass	0.515637
IKSHC	glass	0.496497
PERCH	glass	0.434385
IKSHC	glass	0.492607
PERCH	glass	0.456499
