algorithm	dataset	psi	beta	purity
IKSHC	LandCover	3	0.400000	0.431753
IKSHC	LandCover	3	0.500000	0.487008
IKSHC	LandCover	3	0.600000	0.480467
IKSHC	LandCover	3	0.700000	0.462481
IKSHC	LandCover	3	0.800000	0.462079
IKSHC	LandCover	3	0.900000	0.451287
IKSHC	LandCover	5	0.400000	0.491150
IKSHC	LandCover	5	0.500000	0.498200
IKSHC	LandCover	5	0.600000	0.482557
IKSHC	LandCover	5	0.700000	0.478916
IKSHC	LandCover	5	0.800000	0.450956
IKSHC	LandCover	5	0.900000	0.487808
IKSHC	LandCover	7	0.400000	0.441986
IKSHC	LandCover	7	0.500000	0.470384
IKSHC	LandCover	7	0.600000	0.509249
IKSHC	LandCover	7	0.700000	0.482359
IKSHC	LandCover	7	0.800000	0.480069
IKSHC	LandCover	7	0.900000	0.478323
IKSHC	LandCover	13	0.400000	0.508215
IKSHC	LandCover	13	0.500000	0.476005
IKSHC	LandCover	13	0.600000	0.489264
IKSHC	LandCover	13	0.700000	0.528194
IKSHC	LandCover	13	0.800000	0.550142
IKSHC	LandCover	13	0.900000	0.500398
IKSHC	LandCover	15	0.400000	0.431935
IKSHC	LandCover	15	0.500000	0.505035
IKSHC	LandCover	15	0.600000	0.448049
IKSHC	LandCover	15	0.700000	0.472998
IKSHC	LandCover	15	0.800000	0.476031
IKSHC	LandCover	15	0.900000	0.484850
IKSHC	LandCover	17	0.400000	0.488785
IKSHC	LandCover	17	0.500000	0.494892
IKSHC	LandCover	17	0.600000	0.510725
IKSHC	LandCover	17	0.700000	0.475878
IKSHC	LandCover	17	0.800000	0.493596
IKSHC	LandCover	17	0.900000	0.473626
IKSHC	LandCover	21	0.400000	0.486260
IKSHC	LandCover	21	0.500000	0.478113
IKSHC	LandCover	21	0.600000	0.481519
IKSHC	LandCover	21	0.700000	0.454324
IKSHC	LandCover	21	0.800000	0.482171
IKSHC	LandCover	21	0.900000	0.488854
IKSHC	LandCover	25	0.400000	0.459065
IKSHC	LandCover	25	0.500000	0.487022
IKSHC	LandCover	25	0.600000	0.493944
IKSHC	LandCover	25	0.700000	0.470852
IKSHC	LandCover	25	0.800000	0.482490
IKSHC	LandCover	25	0.900000	0.485851
IKSHC	LandCover	3	0.400000	0.474289
IKSHC	LandCover	3	0.500000	0.472685
IKSHC	LandCover	3	0.600000	0.455375
IKSHC	LandCover	3	0.700000	0.452819
IKSHC	LandCover	3	0.800000	0.448910
IKSHC	LandCover	3	0.900000	0.485273
IKSHC	LandCover	5	0.400000	0.502846
IKSHC	LandCover	5	0.500000	0.483291
IKSHC	LandCover	5	0.600000	0.480382
IKSHC	LandCover	5	0.700000	0.507689
IKSHC	LandCover	5	0.800000	0.494559
IKSHC	LandCover	5	0.900000	0.493860
IKSHC	LandCover	7	0.400000	0.522359
IKSHC	LandCover	7	0.500000	0.503481
IKSHC	LandCover	7	0.600000	0.489201
IKSHC	LandCover	7	0.700000	0.512799
IKSHC	LandCover	7	0.800000	0.521807
IKSHC	LandCover	7	0.900000	0.510629
IKSHC	LandCover	13	0.400000	0.522881
IKSHC	LandCover	13	0.500000	0.512302
IKSHC	LandCover	13	0.600000	0.530791
IKSHC	LandCover	13	0.700000	0.516148
IKSHC	LandCover	13	0.800000	0.549045
IKSHC	LandCover	13	0.900000	0.519332
IKSHC	LandCover	15	0.400000	0.511448
IKSHC	LandCover	15	0.500000	0.525307
IKSHC	LandCover	15	0.600000	0.550137
IKSHC	LandCover	15	0.700000	0.493821
IKSHC	LandCover	15	0.800000	0.511122
IKSHC	LandCover	15	0.900000	0.532639
IKSHC	LandCover	17	0.400000	0.514747
IKSHC	LandCover	17	0.500000	0.522546
IKSHC	LandCover	17	0.600000	0.517611
IKSHC	LandCover	17	0.700000	0.540557
IKSHC	LandCover	17	0.800000	0.582938
IKSHC	LandCover	17	0.900000	0.560196
IKSHC	LandCover	21	0.400000	0.489232
IKSHC	LandCover	21	0.500000	0.538179
IKSHC	LandCover	21	0.600000	0.518472
IKSHC	LandCover	21	0.700000	0.495737
IKSHC	LandCover	21	0.800000	0.498362
IKSHC	LandCover	21	0.900000	0.525959
IKSHC	LandCover	25	0.400000	0.505160
IKSHC	LandCover	25	0.500000	0.486072
IKSHC	LandCover	25	0.600000	0.500030
IKSHC	LandCover	25	0.700000	0.537091
IKSHC	LandCover	25	0.800000	0.497699
IKSHC	LandCover	25	0.900000	0.508389
IKSHC	LandCover	3	0.400000	0.491777
IKSHC	LandCover	3	0.500000	0.481445
IKSHC	LandCover	3	0.600000	0.479619
IKSHC	LandCover	3	0.700000	0.507340
IKSHC	LandCover	3	0.800000	0.471080
IKSHC	LandCover	3	0.900000	0.490506
IKSHC	LandCover	5	0.400000	0.485495
IKSHC	LandCover	5	0.500000	0.478927
IKSHC	LandCover	5	0.600000	0.448889
IKSHC	LandCover	5	0.700000	0.477216
IKSHC	LandCover	5	0.800000	0.476772
IKSHC	LandCover	5	0.900000	0.517303
IKSHC	LandCover	7	0.400000	0.520429
IKSHC	LandCover	7	0.500000	0.463123
IKSHC	LandCover	7	0.600000	0.479172
IKSHC	LandCover	7	0.700000	0.478142
IKSHC	LandCover	7	0.800000	0.455815
IKSHC	LandCover	7	0.900000	0.457885
IKSHC	LandCover	13	0.400000	0.477063
IKSHC	LandCover	13	0.500000	0.478151
IKSHC	LandCover	13	0.600000	0.497897
IKSHC	LandCover	13	0.700000	0.471016
IKSHC	LandCover	13	0.800000	0.485751
IKSHC	LandCover	13	0.900000	0.512867
IKSHC	LandCover	15	0.400000	0.508139
IKSHC	LandCover	15	0.500000	0.469157
IKSHC	LandCover	15	0.600000	0.488190
IKSHC	LandCover	15	0.700000	0.496817
IKSHC	LandCover	15	0.800000	0.460315
