algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.245189
IKSHC	covtype	5	0.500000	0.242749
IKSHC	covtype	5	0.600000	0.239311
IKSHC	covtype	5	0.700000	0.242234
IKSHC	covtype	5	0.800000	0.241922
IKSHC	covtype	5	0.900000	0.240756
IKSHC	covtype	7	0.400000	0.247603
IKSHC	covtype	7	0.500000	0.245111
IKSHC	covtype	7	0.600000	0.240018
IKSHC	covtype	7	0.700000	0.249517
IKSHC	covtype	7	0.800000	0.246884
IKSHC	covtype	7	0.900000	0.245881
IKSHC	covtype	15	0.400000	0.224359
IKSHC	covtype	15	0.500000	0.223630
IKSHC	covtype	15	0.600000	0.249801
IKSHC	covtype	15	0.700000	0.223293
IKSHC	covtype	15	0.800000	0.220815
IKSHC	covtype	15	0.900000	0.225376
IKSHC	covtype	17	0.400000	0.222419
IKSHC	covtype	17	0.500000	0.217776
IKSHC	covtype	17	0.600000	0.219392
IKSHC	covtype	17	0.700000	0.216872
IKSHC	covtype	17	0.800000	0.226922
IKSHC	covtype	17	0.900000	0.221510
