algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.241282
IKSHC	covtype	5	0.500000	0.238605
IKSHC	covtype	5	0.600000	0.241625
IKSHC	covtype	5	0.700000	0.245949
IKSHC	covtype	5	0.800000	0.240658
IKSHC	covtype	5	0.900000	0.243303
IKSHC	covtype	7	0.400000	0.243967
IKSHC	covtype	7	0.500000	0.240384
IKSHC	covtype	7	0.600000	0.238484
IKSHC	covtype	7	0.700000	0.248738
IKSHC	covtype	7	0.800000	0.243276
IKSHC	covtype	7	0.900000	0.251619
IKSHC	covtype	15	0.400000	0.247877
IKSHC	covtype	15	0.500000	0.252204
IKSHC	covtype	15	0.600000	0.244005
IKSHC	covtype	15	0.700000	0.246564
IKSHC	covtype	15	0.800000	0.251017
IKSHC	covtype	15	0.900000	0.246420
IKSHC	covtype	17	0.400000	0.246280
IKSHC	covtype	17	0.500000	0.239105
IKSHC	covtype	17	0.600000	0.245098
IKSHC	covtype	17	0.700000	0.242269
IKSHC	covtype	17	0.800000	0.240329
IKSHC	covtype	17	0.900000	0.245814
