algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.241515
IKSHC	covtype	5	0.500000	0.241534
IKSHC	covtype	5	0.600000	0.244604
IKSHC	covtype	5	0.700000	0.246830
IKSHC	covtype	5	0.800000	0.241289
IKSHC	covtype	5	0.900000	0.241085
IKSHC	covtype	7	0.400000	0.242099
IKSHC	covtype	7	0.500000	0.243464
IKSHC	covtype	7	0.600000	0.244319
IKSHC	covtype	7	0.700000	0.239004
IKSHC	covtype	7	0.800000	0.241629
IKSHC	covtype	7	0.900000	0.242496
IKSHC	covtype	15	0.400000	0.249317
IKSHC	covtype	15	0.500000	0.228593
IKSHC	covtype	15	0.600000	0.245701
IKSHC	covtype	15	0.700000	0.245322
IKSHC	covtype	15	0.800000	0.254070
IKSHC	covtype	15	0.900000	0.245206
IKSHC	covtype	17	0.400000	0.249860
IKSHC	covtype	17	0.500000	0.256368
IKSHC	covtype	17	0.600000	0.251158
IKSHC	covtype	17	0.700000	0.219817
IKSHC	covtype	17	0.800000	0.255071
IKSHC	covtype	17	0.900000	0.247387
