algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.241617
IKSHC	covtype	5	0.500000	0.237937
IKSHC	covtype	5	0.600000	0.246008
IKSHC	covtype	5	0.700000	0.244813
IKSHC	covtype	5	0.800000	0.233825
IKSHC	covtype	5	0.900000	0.236170
IKSHC	covtype	7	0.400000	0.250328
IKSHC	covtype	7	0.500000	0.243082
IKSHC	covtype	7	0.600000	0.249585
IKSHC	covtype	7	0.700000	0.250552
IKSHC	covtype	7	0.800000	0.249844
IKSHC	covtype	7	0.900000	0.248452
IKSHC	covtype	15	0.400000	0.251050
IKSHC	covtype	15	0.500000	0.248542
IKSHC	covtype	15	0.600000	0.249871
IKSHC	covtype	15	0.700000	0.246273
IKSHC	covtype	15	0.800000	0.248032
IKSHC	covtype	15	0.900000	0.250860
IKSHC	covtype	17	0.400000	0.250183
IKSHC	covtype	17	0.500000	0.247596
IKSHC	covtype	17	0.600000	0.247610
IKSHC	covtype	17	0.700000	0.247083
IKSHC	covtype	17	0.800000	0.254659
IKSHC	covtype	17	0.900000	0.248629
