algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.245017
IKSHC	covtype	5	0.500000	0.239664
IKSHC	covtype	5	0.600000	0.243774
IKSHC	covtype	5	0.700000	0.241441
IKSHC	covtype	5	0.800000	0.244121
IKSHC	covtype	5	0.900000	0.241690
IKSHC	covtype	7	0.400000	0.250268
IKSHC	covtype	7	0.500000	0.249164
IKSHC	covtype	7	0.600000	0.243762
IKSHC	covtype	7	0.700000	0.246892
IKSHC	covtype	7	0.800000	0.242912
IKSHC	covtype	7	0.900000	0.246612
IKSHC	covtype	15	0.400000	0.249367
IKSHC	covtype	15	0.500000	0.250545
IKSHC	covtype	15	0.600000	0.248942
IKSHC	covtype	15	0.700000	0.246666
IKSHC	covtype	15	0.800000	0.251870
IKSHC	covtype	15	0.900000	0.249230
IKSHC	covtype	17	0.400000	0.256968
IKSHC	covtype	17	0.500000	0.258019
IKSHC	covtype	17	0.600000	0.215141
IKSHC	covtype	17	0.700000	0.254521
IKSHC	covtype	17	0.800000	0.250352
IKSHC	covtype	17	0.900000	0.252406
