algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.248204
IKSHC	covtype	5	0.500000	0.249285
IKSHC	covtype	5	0.600000	0.242120
IKSHC	covtype	5	0.700000	0.239460
IKSHC	covtype	5	0.800000	0.241204
IKSHC	covtype	5	0.900000	0.240389
IKSHC	covtype	7	0.400000	0.240465
IKSHC	covtype	7	0.500000	0.239137
IKSHC	covtype	7	0.600000	0.245549
IKSHC	covtype	7	0.700000	0.249563
IKSHC	covtype	7	0.800000	0.241776
IKSHC	covtype	7	0.900000	0.248015
IKSHC	covtype	15	0.400000	0.253002
IKSHC	covtype	15	0.500000	0.252688
IKSHC	covtype	15	0.600000	0.246899
IKSHC	covtype	15	0.700000	0.247037
IKSHC	covtype	15	0.800000	0.246604
IKSHC	covtype	15	0.900000	0.246684
IKSHC	covtype	17	0.400000	0.251135
IKSHC	covtype	17	0.500000	0.249622
IKSHC	covtype	17	0.600000	0.242008
IKSHC	covtype	17	0.700000	0.245678
IKSHC	covtype	17	0.800000	0.246644
IKSHC	covtype	17	0.900000	0.248599
