algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.239217
IKSHC	covtype	5	0.500000	0.248038
IKSHC	covtype	5	0.600000	0.243868
IKSHC	covtype	5	0.700000	0.242260
IKSHC	covtype	5	0.800000	0.239978
IKSHC	covtype	5	0.900000	0.239991
IKSHC	covtype	7	0.400000	0.242339
IKSHC	covtype	7	0.500000	0.240114
IKSHC	covtype	7	0.600000	0.246244
IKSHC	covtype	7	0.700000	0.242412
IKSHC	covtype	7	0.800000	0.238799
IKSHC	covtype	7	0.900000	0.242529
IKSHC	covtype	15	0.400000	0.241029
IKSHC	covtype	15	0.500000	0.242875
IKSHC	covtype	15	0.600000	0.247724
IKSHC	covtype	15	0.700000	0.241135
IKSHC	covtype	15	0.800000	0.245156
IKSHC	covtype	15	0.900000	0.251682
IKSHC	covtype	17	0.400000	0.246845
IKSHC	covtype	17	0.500000	0.243025
IKSHC	covtype	17	0.600000	0.245627
IKSHC	covtype	17	0.700000	0.240212
IKSHC	covtype	17	0.800000	0.244704
IKSHC	covtype	17	0.900000	0.245329
