algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.242187
IKSHC	covtype	5	0.500000	0.240708
IKSHC	covtype	5	0.600000	0.247155
IKSHC	covtype	5	0.700000	0.234650
IKSHC	covtype	5	0.800000	0.243836
IKSHC	covtype	5	0.900000	0.244134
IKSHC	covtype	7	0.400000	0.247910
IKSHC	covtype	7	0.500000	0.241565
IKSHC	covtype	7	0.600000	0.244574
IKSHC	covtype	7	0.700000	0.248691
IKSHC	covtype	7	0.800000	0.247704
IKSHC	covtype	7	0.900000	0.250721
IKSHC	covtype	15	0.400000	0.242096
IKSHC	covtype	15	0.500000	0.253710
IKSHC	covtype	15	0.600000	0.254659
IKSHC	covtype	15	0.700000	0.250833
IKSHC	covtype	15	0.800000	0.253137
IKSHC	covtype	15	0.900000	0.237455
IKSHC	covtype	17	0.400000	0.255297
IKSHC	covtype	17	0.500000	0.228009
IKSHC	covtype	17	0.600000	0.252031
IKSHC	covtype	17	0.700000	0.243870
IKSHC	covtype	17	0.800000	0.235598
IKSHC	covtype	17	0.900000	0.254068
