algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.243301
IKSHC	covtype	5	0.500000	0.244025
IKSHC	covtype	5	0.600000	0.243183
IKSHC	covtype	5	0.700000	0.246707
IKSHC	covtype	5	0.800000	0.240868
IKSHC	covtype	5	0.900000	0.242191
IKSHC	covtype	7	0.400000	0.255144
IKSHC	covtype	7	0.500000	0.240641
IKSHC	covtype	7	0.600000	0.241982
IKSHC	covtype	7	0.700000	0.251855
IKSHC	covtype	7	0.800000	0.243064
IKSHC	covtype	7	0.900000	0.252067
IKSHC	covtype	15	0.400000	0.254021
IKSHC	covtype	15	0.500000	0.255605
IKSHC	covtype	15	0.600000	0.256752
IKSHC	covtype	15	0.700000	0.257621
IKSHC	covtype	15	0.800000	0.253704
IKSHC	covtype	15	0.900000	0.260730
IKSHC	covtype	17	0.400000	0.254212
IKSHC	covtype	17	0.500000	0.263434
IKSHC	covtype	17	0.600000	0.264546
IKSHC	covtype	17	0.700000	0.256358
IKSHC	covtype	17	0.800000	0.254703
IKSHC	covtype	17	0.900000	0.255274
