algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.240432
IKSHC	covtype	5	0.500000	0.243968
IKSHC	covtype	5	0.600000	0.242217
IKSHC	covtype	5	0.700000	0.252716
IKSHC	covtype	5	0.800000	0.242227
IKSHC	covtype	5	0.900000	0.247700
IKSHC	covtype	7	0.400000	0.248316
IKSHC	covtype	7	0.500000	0.250712
IKSHC	covtype	7	0.600000	0.248512
IKSHC	covtype	7	0.700000	0.243040
IKSHC	covtype	7	0.800000	0.245770
IKSHC	covtype	7	0.900000	0.248640
IKSHC	covtype	15	0.400000	0.247413
IKSHC	covtype	15	0.500000	0.255668
IKSHC	covtype	15	0.600000	0.249313
IKSHC	covtype	15	0.700000	0.253375
IKSHC	covtype	15	0.800000	0.249044
IKSHC	covtype	15	0.900000	0.252756
IKSHC	covtype	17	0.400000	0.252307
IKSHC	covtype	17	0.500000	0.251435
IKSHC	covtype	17	0.600000	0.257593
IKSHC	covtype	17	0.700000	0.253929
IKSHC	covtype	17	0.800000	0.252649
IKSHC	covtype	17	0.900000	0.252756
