algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.243372
IKSHC	covtype	5	0.500000	0.237728
IKSHC	covtype	5	0.600000	0.238214
IKSHC	covtype	5	0.700000	0.239508
IKSHC	covtype	5	0.800000	0.247135
IKSHC	covtype	5	0.900000	0.251627
IKSHC	covtype	7	0.400000	0.241084
IKSHC	covtype	7	0.500000	0.246657
IKSHC	covtype	7	0.600000	0.244732
IKSHC	covtype	7	0.700000	0.249574
IKSHC	covtype	7	0.800000	0.246504
IKSHC	covtype	7	0.900000	0.243619
IKSHC	covtype	15	0.400000	0.247153
IKSHC	covtype	15	0.500000	0.251986
IKSHC	covtype	15	0.600000	0.249239
IKSHC	covtype	15	0.700000	0.244838
IKSHC	covtype	15	0.800000	0.247626
IKSHC	covtype	15	0.900000	0.248254
IKSHC	covtype	17	0.400000	0.244476
IKSHC	covtype	17	0.500000	0.246766
IKSHC	covtype	17	0.600000	0.244969
IKSHC	covtype	17	0.700000	0.247541
IKSHC	covtype	17	0.800000	0.247522
IKSHC	covtype	17	0.900000	0.244631
