algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.243855
IKSHC	covtype	5	0.500000	0.242235
IKSHC	covtype	5	0.600000	0.241143
IKSHC	covtype	5	0.700000	0.242265
IKSHC	covtype	5	0.800000	0.243722
IKSHC	covtype	5	0.900000	0.241381
IKSHC	covtype	7	0.400000	0.242342
IKSHC	covtype	7	0.500000	0.248266
IKSHC	covtype	7	0.600000	0.250069
IKSHC	covtype	7	0.700000	0.246623
IKSHC	covtype	7	0.800000	0.247188
IKSHC	covtype	7	0.900000	0.248211
IKSHC	covtype	15	0.400000	0.239444
IKSHC	covtype	15	0.500000	0.230997
IKSHC	covtype	15	0.600000	0.243840
IKSHC	covtype	15	0.700000	0.228564
IKSHC	covtype	15	0.800000	0.244192
IKSHC	covtype	15	0.900000	0.242178
IKSHC	covtype	17	0.400000	0.245217
IKSHC	covtype	17	0.500000	0.222955
IKSHC	covtype	17	0.600000	0.228724
IKSHC	covtype	17	0.700000	0.223878
IKSHC	covtype	17	0.800000	0.222754
IKSHC	covtype	17	0.900000	0.222293
