algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.244124
IKSHC	covtype	5	0.500000	0.243713
IKSHC	covtype	5	0.600000	0.245995
IKSHC	covtype	5	0.700000	0.251743
IKSHC	covtype	5	0.800000	0.244306
IKSHC	covtype	5	0.900000	0.243714
IKSHC	covtype	7	0.400000	0.245536
IKSHC	covtype	7	0.500000	0.243392
IKSHC	covtype	7	0.600000	0.249415
IKSHC	covtype	7	0.700000	0.249733
IKSHC	covtype	7	0.800000	0.246749
IKSHC	covtype	7	0.900000	0.246582
IKSHC	covtype	15	0.400000	0.251602
IKSHC	covtype	15	0.500000	0.231337
IKSHC	covtype	15	0.600000	0.226027
IKSHC	covtype	15	0.700000	0.253264
IKSHC	covtype	15	0.800000	0.253559
IKSHC	covtype	15	0.900000	0.253931
IKSHC	covtype	17	0.400000	0.236433
IKSHC	covtype	17	0.500000	0.232517
IKSHC	covtype	17	0.600000	0.230067
IKSHC	covtype	17	0.700000	0.229689
IKSHC	covtype	17	0.800000	0.231145
IKSHC	covtype	17	0.900000	0.234395
