algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.242818
IKSHC	covtype	5	0.500000	0.253469
IKSHC	covtype	5	0.600000	0.242471
IKSHC	covtype	5	0.700000	0.244800
IKSHC	covtype	5	0.800000	0.246301
IKSHC	covtype	5	0.900000	0.245946
IKSHC	covtype	7	0.400000	0.242904
IKSHC	covtype	7	0.500000	0.245262
IKSHC	covtype	7	0.600000	0.239620
IKSHC	covtype	7	0.700000	0.240457
IKSHC	covtype	7	0.800000	0.249086
IKSHC	covtype	7	0.900000	0.246056
IKSHC	covtype	15	0.400000	0.250021
IKSHC	covtype	15	0.500000	0.249938
IKSHC	covtype	15	0.600000	0.244589
IKSHC	covtype	15	0.700000	0.253300
IKSHC	covtype	15	0.800000	0.249568
IKSHC	covtype	15	0.900000	0.246854
IKSHC	covtype	17	0.400000	0.256112
IKSHC	covtype	17	0.500000	0.246795
IKSHC	covtype	17	0.600000	0.247911
IKSHC	covtype	17	0.700000	0.242844
IKSHC	covtype	17	0.800000	0.245727
IKSHC	covtype	17	0.900000	0.257772
