algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.258401
IKSHC	covtype	5	0.500000	0.248887
IKSHC	covtype	5	0.600000	0.258815
IKSHC	covtype	5	0.700000	0.241001
IKSHC	covtype	5	0.800000	0.250417
IKSHC	covtype	5	0.900000	0.251474
IKSHC	covtype	7	0.400000	0.246834
IKSHC	covtype	7	0.500000	0.251185
IKSHC	covtype	7	0.600000	0.252615
IKSHC	covtype	7	0.700000	0.248119
IKSHC	covtype	7	0.800000	0.251788
IKSHC	covtype	7	0.900000	0.247624
IKSHC	covtype	15	0.400000	0.253087
IKSHC	covtype	15	0.500000	0.264095
IKSHC	covtype	15	0.600000	0.260328
IKSHC	covtype	15	0.700000	0.258070
IKSHC	covtype	15	0.800000	0.249344
IKSHC	covtype	15	0.900000	0.254101
IKSHC	covtype	17	0.400000	0.262264
IKSHC	covtype	17	0.500000	0.263234
IKSHC	covtype	17	0.600000	0.253695
IKSHC	covtype	17	0.700000	0.245711
IKSHC	covtype	17	0.800000	0.252598
IKSHC	covtype	17	0.900000	0.259263
