algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.239201
IKSHC	covtype	5	0.500000	0.240753
IKSHC	covtype	5	0.600000	0.240699
IKSHC	covtype	5	0.700000	0.239985
IKSHC	covtype	5	0.800000	0.241573
IKSHC	covtype	5	0.900000	0.240483
IKSHC	covtype	7	0.400000	0.233924
IKSHC	covtype	7	0.500000	0.249650
IKSHC	covtype	7	0.600000	0.238693
IKSHC	covtype	7	0.700000	0.250974
IKSHC	covtype	7	0.800000	0.238963
IKSHC	covtype	7	0.900000	0.235464
IKSHC	covtype	15	0.400000	0.242289
IKSHC	covtype	15	0.500000	0.239454
IKSHC	covtype	15	0.600000	0.235739
IKSHC	covtype	15	0.700000	0.242331
IKSHC	covtype	15	0.800000	0.235964
IKSHC	covtype	15	0.900000	0.238046
IKSHC	covtype	17	0.400000	0.239181
IKSHC	covtype	17	0.500000	0.235273
IKSHC	covtype	17	0.600000	0.240905
IKSHC	covtype	17	0.700000	0.239912
IKSHC	covtype	17	0.800000	0.234400
IKSHC	covtype	17	0.900000	0.232718
