algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.254478
IKSHC	covtype	5	0.500000	0.248862
IKSHC	covtype	5	0.600000	0.249280
IKSHC	covtype	5	0.700000	0.243002
IKSHC	covtype	5	0.800000	0.250703
IKSHC	covtype	5	0.900000	0.244949
IKSHC	covtype	7	0.400000	0.257400
IKSHC	covtype	7	0.500000	0.248318
IKSHC	covtype	7	0.600000	0.250740
IKSHC	covtype	7	0.700000	0.251397
IKSHC	covtype	7	0.800000	0.241956
IKSHC	covtype	7	0.900000	0.250912
IKSHC	covtype	15	0.400000	0.252326
IKSHC	covtype	15	0.500000	0.258508
IKSHC	covtype	15	0.600000	0.253398
IKSHC	covtype	15	0.700000	0.253234
IKSHC	covtype	15	0.800000	0.257500
IKSHC	covtype	15	0.900000	0.260014
IKSHC	covtype	17	0.400000	0.252168
IKSHC	covtype	17	0.500000	0.260888
IKSHC	covtype	17	0.600000	0.257351
IKSHC	covtype	17	0.700000	0.260691
IKSHC	covtype	17	0.800000	0.257106
IKSHC	covtype	17	0.900000	0.264110
