algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.248411
IKSHC	covtype	5	0.500000	0.242969
IKSHC	covtype	5	0.600000	0.245912
IKSHC	covtype	5	0.700000	0.245613
IKSHC	covtype	5	0.800000	0.249391
IKSHC	covtype	5	0.900000	0.247130
IKSHC	covtype	7	0.400000	0.247680
IKSHC	covtype	7	0.500000	0.250842
IKSHC	covtype	7	0.600000	0.249239
IKSHC	covtype	7	0.700000	0.249058
IKSHC	covtype	7	0.800000	0.241783
IKSHC	covtype	7	0.900000	0.249261
IKSHC	covtype	15	0.400000	0.254194
IKSHC	covtype	15	0.500000	0.251051
IKSHC	covtype	15	0.600000	0.254348
IKSHC	covtype	15	0.700000	0.251324
IKSHC	covtype	15	0.800000	0.251391
IKSHC	covtype	15	0.900000	0.251802
IKSHC	covtype	17	0.400000	0.250277
IKSHC	covtype	17	0.500000	0.255689
IKSHC	covtype	17	0.600000	0.253819
IKSHC	covtype	17	0.700000	0.256940
IKSHC	covtype	17	0.800000	0.253005
IKSHC	covtype	17	0.900000	0.253862
