algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.252919
IKSHC	covtype	5	0.500000	0.241145
IKSHC	covtype	5	0.600000	0.256864
IKSHC	covtype	5	0.700000	0.247549
IKSHC	covtype	5	0.800000	0.252010
IKSHC	covtype	5	0.900000	0.243688
IKSHC	covtype	7	0.400000	0.247310
IKSHC	covtype	7	0.500000	0.254189
IKSHC	covtype	7	0.600000	0.251179
IKSHC	covtype	7	0.700000	0.254093
IKSHC	covtype	7	0.800000	0.251511
IKSHC	covtype	7	0.900000	0.249001
IKSHC	covtype	15	0.400000	0.255052
IKSHC	covtype	15	0.500000	0.258086
IKSHC	covtype	15	0.600000	0.258814
IKSHC	covtype	15	0.700000	0.259727
IKSHC	covtype	15	0.800000	0.273563
IKSHC	covtype	15	0.900000	0.257754
IKSHC	covtype	17	0.400000	0.273411
IKSHC	covtype	17	0.500000	0.274707
IKSHC	covtype	17	0.600000	0.257704
IKSHC	covtype	17	0.700000	0.258373
IKSHC	covtype	17	0.800000	0.274133
IKSHC	covtype	17	0.900000	0.261411
