algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.239222
IKSHC	covtype	5	0.500000	0.238630
IKSHC	covtype	5	0.600000	0.242442
IKSHC	covtype	5	0.700000	0.236186
IKSHC	covtype	5	0.800000	0.250686
IKSHC	covtype	5	0.900000	0.238732
IKSHC	covtype	7	0.400000	0.249428
IKSHC	covtype	7	0.500000	0.241117
IKSHC	covtype	7	0.600000	0.249417
IKSHC	covtype	7	0.700000	0.247012
IKSHC	covtype	7	0.800000	0.247770
IKSHC	covtype	7	0.900000	0.255841
IKSHC	covtype	15	0.400000	0.252239
IKSHC	covtype	15	0.500000	0.255960
IKSHC	covtype	15	0.600000	0.250603
IKSHC	covtype	15	0.700000	0.251327
IKSHC	covtype	15	0.800000	0.249564
IKSHC	covtype	15	0.900000	0.259849
IKSHC	covtype	17	0.400000	0.252645
IKSHC	covtype	17	0.500000	0.249551
IKSHC	covtype	17	0.600000	0.254682
IKSHC	covtype	17	0.700000	0.250529
IKSHC	covtype	17	0.800000	0.251473
IKSHC	covtype	17	0.900000	0.250427
