algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.245619
IKSHC	covtype	5	0.500000	0.226096
IKSHC	covtype	5	0.600000	0.244734
IKSHC	covtype	5	0.700000	0.247748
IKSHC	covtype	5	0.800000	0.248318
IKSHC	covtype	5	0.900000	0.245256
IKSHC	covtype	7	0.400000	0.225891
IKSHC	covtype	7	0.500000	0.243803
IKSHC	covtype	7	0.600000	0.256317
IKSHC	covtype	7	0.700000	0.234529
IKSHC	covtype	7	0.800000	0.240983
IKSHC	covtype	7	0.900000	0.223565
IKSHC	covtype	15	0.400000	0.246739
IKSHC	covtype	15	0.500000	0.233941
IKSHC	covtype	15	0.600000	0.231056
IKSHC	covtype	15	0.700000	0.234859
IKSHC	covtype	15	0.800000	0.237183
IKSHC	covtype	15	0.900000	0.227000
IKSHC	covtype	17	0.400000	0.230536
IKSHC	covtype	17	0.500000	0.231562
IKSHC	covtype	17	0.600000	0.221018
IKSHC	covtype	17	0.700000	0.226502
IKSHC	covtype	17	0.800000	0.225275
IKSHC	covtype	17	0.900000	0.255177
