algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.250041
IKSHC	covtype	5	0.500000	0.248824
IKSHC	covtype	5	0.600000	0.243808
IKSHC	covtype	5	0.700000	0.238663
IKSHC	covtype	5	0.800000	0.235696
IKSHC	covtype	5	0.900000	0.246517
IKSHC	covtype	7	0.400000	0.253983
IKSHC	covtype	7	0.500000	0.239181
IKSHC	covtype	7	0.600000	0.246709
IKSHC	covtype	7	0.700000	0.241516
IKSHC	covtype	7	0.800000	0.247548
IKSHC	covtype	7	0.900000	0.239541
IKSHC	covtype	15	0.400000	0.254264
IKSHC	covtype	15	0.500000	0.244558
IKSHC	covtype	15	0.600000	0.251634
IKSHC	covtype	15	0.700000	0.242604
IKSHC	covtype	15	0.800000	0.252830
IKSHC	covtype	15	0.900000	0.248178
IKSHC	covtype	17	0.400000	0.243970
IKSHC	covtype	17	0.500000	0.255011
IKSHC	covtype	17	0.600000	0.239354
IKSHC	covtype	17	0.700000	0.239060
IKSHC	covtype	17	0.800000	0.236126
IKSHC	covtype	17	0.900000	0.239877
