algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.246137
IKSHC	covtype	5	0.500000	0.250161
IKSHC	covtype	5	0.600000	0.253916
IKSHC	covtype	5	0.700000	0.248112
IKSHC	covtype	5	0.800000	0.241331
IKSHC	covtype	5	0.900000	0.250169
IKSHC	covtype	7	0.400000	0.246054
IKSHC	covtype	7	0.500000	0.255961
IKSHC	covtype	7	0.600000	0.254495
IKSHC	covtype	7	0.700000	0.251464
IKSHC	covtype	7	0.800000	0.254974
IKSHC	covtype	7	0.900000	0.252780
IKSHC	covtype	15	0.400000	0.255633
IKSHC	covtype	15	0.500000	0.255270
IKSHC	covtype	15	0.600000	0.257764
IKSHC	covtype	15	0.700000	0.259069
IKSHC	covtype	15	0.800000	0.258945
IKSHC	covtype	15	0.900000	0.261104
IKSHC	covtype	17	0.400000	0.236827
IKSHC	covtype	17	0.500000	0.260953
IKSHC	covtype	17	0.600000	0.257574
IKSHC	covtype	17	0.700000	0.229001
IKSHC	covtype	17	0.800000	0.234697
IKSHC	covtype	17	0.900000	0.230070
