algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.233739
IKSHC	covtype	5	0.500000	0.237297
IKSHC	covtype	5	0.600000	0.236869
IKSHC	covtype	5	0.700000	0.239823
IKSHC	covtype	5	0.800000	0.246508
IKSHC	covtype	5	0.900000	0.237701
IKSHC	covtype	7	0.400000	0.245184
IKSHC	covtype	7	0.500000	0.244812
IKSHC	covtype	7	0.600000	0.240873
IKSHC	covtype	7	0.700000	0.247340
IKSHC	covtype	7	0.800000	0.238547
IKSHC	covtype	7	0.900000	0.240301
IKSHC	covtype	15	0.400000	0.247800
IKSHC	covtype	15	0.500000	0.250043
IKSHC	covtype	15	0.600000	0.247736
IKSHC	covtype	15	0.700000	0.247294
IKSHC	covtype	15	0.800000	0.248331
IKSHC	covtype	15	0.900000	0.251254
IKSHC	covtype	17	0.400000	0.249454
IKSHC	covtype	17	0.500000	0.249249
IKSHC	covtype	17	0.600000	0.246503
IKSHC	covtype	17	0.700000	0.245829
IKSHC	covtype	17	0.800000	0.245786
IKSHC	covtype	17	0.900000	0.253218
