algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.240891
IKSHC	covtype	5	0.500000	0.242100
IKSHC	covtype	5	0.600000	0.239936
IKSHC	covtype	5	0.700000	0.243966
IKSHC	covtype	5	0.800000	0.236732
IKSHC	covtype	5	0.900000	0.234238
IKSHC	covtype	7	0.400000	0.249549
IKSHC	covtype	7	0.500000	0.246678
IKSHC	covtype	7	0.600000	0.220735
IKSHC	covtype	7	0.700000	0.221790
IKSHC	covtype	7	0.800000	0.246122
IKSHC	covtype	7	0.900000	0.248258
IKSHC	covtype	15	0.400000	0.231138
IKSHC	covtype	15	0.500000	0.225731
IKSHC	covtype	15	0.600000	0.230810
IKSHC	covtype	15	0.700000	0.229418
IKSHC	covtype	15	0.800000	0.229129
IKSHC	covtype	15	0.900000	0.224966
IKSHC	covtype	17	0.400000	0.229388
IKSHC	covtype	17	0.500000	0.225269
IKSHC	covtype	17	0.600000	0.228767
IKSHC	covtype	17	0.700000	0.227947
IKSHC	covtype	17	0.800000	0.225628
IKSHC	covtype	17	0.900000	0.231432
