algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.247146
IKSHC	covtype	5	0.500000	0.246620
IKSHC	covtype	5	0.600000	0.239139
IKSHC	covtype	5	0.700000	0.247227
IKSHC	covtype	5	0.800000	0.244078
IKSHC	covtype	5	0.900000	0.246641
IKSHC	covtype	7	0.400000	0.252067
IKSHC	covtype	7	0.500000	0.246092
IKSHC	covtype	7	0.600000	0.250547
IKSHC	covtype	7	0.700000	0.241625
IKSHC	covtype	7	0.800000	0.235736
IKSHC	covtype	7	0.900000	0.249450
IKSHC	covtype	15	0.400000	0.256871
IKSHC	covtype	15	0.500000	0.259826
IKSHC	covtype	15	0.600000	0.259377
IKSHC	covtype	15	0.700000	0.259000
IKSHC	covtype	15	0.800000	0.254737
IKSHC	covtype	15	0.900000	0.254631
IKSHC	covtype	17	0.400000	0.246136
IKSHC	covtype	17	0.500000	0.254481
IKSHC	covtype	17	0.600000	0.255292
IKSHC	covtype	17	0.700000	0.237505
IKSHC	covtype	17	0.800000	0.254550
IKSHC	covtype	17	0.900000	0.253327
