algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.238822
IKSHC	covtype	5	0.500000	0.236684
IKSHC	covtype	5	0.600000	0.244189
IKSHC	covtype	5	0.700000	0.238016
IKSHC	covtype	5	0.800000	0.237841
IKSHC	covtype	5	0.900000	0.238492
IKSHC	covtype	7	0.400000	0.236311
IKSHC	covtype	7	0.500000	0.240956
IKSHC	covtype	7	0.600000	0.235213
IKSHC	covtype	7	0.700000	0.250005
IKSHC	covtype	7	0.800000	0.239691
IKSHC	covtype	7	0.900000	0.239520
IKSHC	covtype	15	0.400000	0.245660
IKSHC	covtype	15	0.500000	0.248366
IKSHC	covtype	15	0.600000	0.246944
IKSHC	covtype	15	0.700000	0.243128
IKSHC	covtype	15	0.800000	0.246032
IKSHC	covtype	15	0.900000	0.242861
IKSHC	covtype	17	0.400000	0.248258
IKSHC	covtype	17	0.500000	0.248998
IKSHC	covtype	17	0.600000	0.249365
IKSHC	covtype	17	0.700000	0.254281
IKSHC	covtype	17	0.800000	0.251452
IKSHC	covtype	17	0.900000	0.249338
