algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.247663
IKSHC	covtype	5	0.500000	0.241978
IKSHC	covtype	5	0.600000	0.252947
IKSHC	covtype	5	0.700000	0.248793
IKSHC	covtype	5	0.800000	0.248898
IKSHC	covtype	5	0.900000	0.244929
IKSHC	covtype	7	0.400000	0.254037
IKSHC	covtype	7	0.500000	0.251585
IKSHC	covtype	7	0.600000	0.251732
IKSHC	covtype	7	0.700000	0.250136
IKSHC	covtype	7	0.800000	0.244504
IKSHC	covtype	7	0.900000	0.245704
IKSHC	covtype	15	0.400000	0.226702
IKSHC	covtype	15	0.500000	0.240240
IKSHC	covtype	15	0.600000	0.225200
IKSHC	covtype	15	0.700000	0.241833
IKSHC	covtype	15	0.800000	0.257387
IKSHC	covtype	15	0.900000	0.237884
IKSHC	covtype	17	0.400000	0.226242
IKSHC	covtype	17	0.500000	0.232057
IKSHC	covtype	17	0.600000	0.224688
IKSHC	covtype	17	0.700000	0.221633
IKSHC	covtype	17	0.800000	0.236627
IKSHC	covtype	17	0.900000	0.232564
