algorithm	dataset	psi	beta	purity
IKSHC	covtype	5	0.400000	0.242846
IKSHC	covtype	5	0.500000	0.250470
IKSHC	covtype	5	0.600000	0.240141
IKSHC	covtype	5	0.700000	0.241489
IKSHC	covtype	5	0.800000	0.246165
IKSHC	covtype	5	0.900000	0.241726
IKSHC	covtype	7	0.400000	0.240138
IKSHC	covtype	7	0.500000	0.240769
IKSHC	covtype	7	0.600000	0.239732
IKSHC	covtype	7	0.700000	0.249087
IKSHC	covtype	7	0.800000	0.257656
IKSHC	covtype	7	0.900000	0.249219
IKSHC	covtype	15	0.400000	0.238305
IKSHC	covtype	15	0.500000	0.220879
IKSHC	covtype	15	0.600000	0.235536
IKSHC	covtype	15	0.700000	0.230199
IKSHC	covtype	15	0.800000	0.228463
IKSHC	covtype	15	0.900000	0.234888
IKSHC	covtype	17	0.400000	0.236339
IKSHC	covtype	17	0.500000	0.233024
IKSHC	covtype	17	0.600000	0.238643
IKSHC	covtype	17	0.700000	0.229026
IKSHC	covtype	17	0.800000	0.228017
IKSHC	covtype	17	0.900000	0.234655
