dataset	algorithm	purity	clustering_time_elapsed	max_psi	max_rt
glass_shuffle_0	IKSHC	0.323262	0.134312	5	0.8
glass_shuffle_1	IKSHC	0.339811	0.134281	3	0.7
glass_shuffle_2	IKSHC	0.283967	0.132715	5	0.6
glass_shuffle_3	IKSHC	0.337417	0.140495	7	0.7
glass_shuffle_4	IKSHC	0.329826	0.135192	7	0.7
glass_shuffle_5	IKSHC	0.279219	0.138398	3	0.7
glass_shuffle_6	IKSHC	0.300963	0.137568	15	0.6
glass_shuffle_7	IKSHC	0.329764	0.143612	7	0.6
glass_shuffle_8	IKSHC	0.368683	0.140716	3	0.7
glass_shuffle_9	IKSHC	0.231027	0.138244	3	0.7
