dataset	algorithm	purity	clustering_time_elapsed	max_psi	max_rt
spambase_shuffle_0	IKSHC	0.624250	149.966655	7	0.8
spambase_shuffle_1	IKSHC	0.625367	152.079588	13	0.9
spambase_shuffle_2	IKSHC	0.623144	150.831666	13	0.9
spambase_shuffle_3	IKSHC	0.633158	150.815522	7	0.9
spambase_shuffle_4	IKSHC	0.624204	151.170089	3	0.6
spambase_shuffle_5	IKSHC	0.627750	151.761093	7	0.8
spambase_shuffle_6	IKSHC	0.627182	150.074927	7	0.9
spambase_shuffle_7	IKSHC	0.619927	151.517692	7	0.9
spambase_shuffle_8	IKSHC	0.625743	153.771582	5	0.8
spambase_shuffle_9	IKSHC	0.625730	152.541191	3	0.6
