dataset	algorithm	purity	clustering_time_elapsed	max_psi	max_rt
ALLAML_shuffle_0	IKSHC	0.711255	0.188983	21	0.7
ALLAML_shuffle_1	IKSHC	0.791822	0.199096	25	0.5
ALLAML_shuffle_2	IKSHC	0.743322	0.190173	7	0.6
ALLAML_shuffle_3	IKSHC	0.739602	0.192239	3	0.7
ALLAML_shuffle_4	IKSHC	0.759061	0.192628	7	0.6
ALLAML_shuffle_5	IKSHC	0.735358	0.187681	17	0.7
ALLAML_shuffle_6	IKSHC	0.720033	0.188601	15	0.9
ALLAML_shuffle_7	IKSHC	0.746491	0.194829	25	0.7
ALLAML_shuffle_8	IKSHC	0.785584	0.191632	21	0.6
ALLAML_shuffle_9	IKSHC	0.744722	0.192508	13	0.9
