dataset	algorithm	purity	clustering_time_elapsed	max_psi	max_rt
WDBC_shuffle_0	IKSHC	0.910095	1.081827	21	0.9
WDBC_shuffle_1	IKSHC	0.912359	1.016631	21	0.6
WDBC_shuffle_2	IKSHC	0.922889	1.024331	25	0.8
WDBC_shuffle_3	IKSHC	0.920999	1.035478	25	0.6
WDBC_shuffle_4	IKSHC	0.900941	0.967055	17	0.7
WDBC_shuffle_5	IKSHC	0.902814	0.965669	15	0.9
WDBC_shuffle_6	IKSHC	0.912144	0.958841	7	0.9
WDBC_shuffle_7	IKSHC	0.904788	0.916725	13	0.6
WDBC_shuffle_8	IKSHC	0.904143	1.023231	3	0.8
WDBC_shuffle_9	IKSHC	0.904878	0.900086	25	0.7
