algorithm	dataset	purity
IKSHC	WDBC	0.910095
IKSHC	WDBC	0.912359
IKSHC	WDBC	0.922889
IKSHC	WDBC	0.920999
IKSHC	WDBC	0.900941
IKSHC	WDBC	0.902814
IKSHC	WDBC	0.912144
IKSHC	WDBC	0.904788
IKSHC	WDBC	0.904143
IKSHC	WDBC	0.904878
IKSHC	vowel	0.203647
IKSHC	vowel	0.221499
IKSHC	vowel	0.223553
IKSHC	vowel	0.210397
IKSHC	vowel	0.213269
IKSHC	vowel	0.219450
IKSHC	vowel	0.210889
IKSHC	vowel	0.215572
IKSHC	vowel	0.235727
IKSHC	vowel	0.213797
IKSHC	wine	0.946984
IKSHC	wine	0.933870
IKSHC	wine	0.872764
IKSHC	wine	0.934267
IKSHC	wine	0.927711
IKSHC	wine	0.960481
IKSHC	wine	0.930496
IKSHC	wine	0.947423
IKSHC	wine	0.950709
IKSHC	wine	0.909747
