dataset	algorithm	purity	psi	clustering_time_elapsed
ALLAML_shuffle_0	PERCH	0.640715	3.000000	0.077428
ALLAML_shuffle_0	PERCH	0.662305	5.000000	0.196774
ALLAML_shuffle_0	PERCH	0.766068	7.000000	0.332008
ALLAML_shuffle_0	PERCH	0.655345	13.000000	0.593340
ALLAML_shuffle_0	PERCH	0.604440	15.000000	0.817122
ALLAML_shuffle_0	PERCH	0.727708	17.000000	1.083714
ALLAML_shuffle_0	PERCH	0.718460	21.000000	1.449949
ALLAML_shuffle_0	PERCH	0.581833	25.000000	1.831080
ALLAML_shuffle_1	PERCH	0.654124	3.000000	0.083301
ALLAML_shuffle_1	PERCH	0.601175	5.000000	0.188459
ALLAML_shuffle_1	PERCH	0.647251	7.000000	0.313586
ALLAML_shuffle_1	PERCH	0.663054	13.000000	0.553501
ALLAML_shuffle_1	PERCH	0.603837	15.000000	0.815481
ALLAML_shuffle_1	PERCH	0.567620	17.000000	1.126614
ALLAML_shuffle_1	PERCH	0.605864	21.000000	1.449635
ALLAML_shuffle_1	PERCH	0.566111	25.000000	1.832405
ALLAML_shuffle_2	PERCH	0.703508	3.000000	0.101557
ALLAML_shuffle_2	PERCH	0.652582	5.000000	0.212362
ALLAML_shuffle_2	PERCH	0.731866	7.000000	0.356633
ALLAML_shuffle_2	PERCH	0.598787	13.000000	0.564304
ALLAML_shuffle_2	PERCH	0.617976	15.000000	0.819175
ALLAML_shuffle_2	PERCH	0.551895	17.000000	1.083043
ALLAML_shuffle_2	PERCH	0.603422	21.000000	1.396605
ALLAML_shuffle_2	PERCH	0.595316	25.000000	1.823677
ALLAML_shuffle_3	PERCH	0.643082	3.000000	0.075362
ALLAML_shuffle_3	PERCH	0.631446	5.000000	0.201788
ALLAML_shuffle_3	PERCH	0.619889	7.000000	0.379080
ALLAML_shuffle_3	PERCH	0.720508	13.000000	0.651597
ALLAML_shuffle_3	PERCH	0.740913	15.000000	0.945796
ALLAML_shuffle_3	PERCH	0.558794	17.000000	1.274961
ALLAML_shuffle_3	PERCH	0.621471	21.000000	1.721490
ALLAML_shuffle_3	PERCH	0.719057	25.000000	2.263645
ALLAML_shuffle_4	PERCH	0.592088	3.000000	0.101511
ALLAML_shuffle_4	PERCH	0.589715	5.000000	0.242136
ALLAML_shuffle_4	PERCH	0.585334	7.000000	0.391485
ALLAML_shuffle_4	PERCH	0.676810	13.000000	0.624244
ALLAML_shuffle_4	PERCH	0.666965	15.000000	0.940317
ALLAML_shuffle_4	PERCH	0.689473	17.000000	1.267188
ALLAML_shuffle_4	PERCH	0.674335	21.000000	1.685277
ALLAML_shuffle_4	PERCH	0.584053	25.000000	2.215043
ALLAML_shuffle_5	PERCH	0.705573	3.000000	0.081220
ALLAML_shuffle_5	PERCH	0.716643	5.000000	0.210425
ALLAML_shuffle_5	PERCH	0.678191	7.000000	0.382723
ALLAML_shuffle_5	PERCH	0.601219	13.000000	0.596104
ALLAML_shuffle_5	PERCH	0.570905	15.000000	0.816003
ALLAML_shuffle_5	PERCH	0.568234	17.000000	1.144541
ALLAML_shuffle_5	PERCH	0.579100	21.000000	1.500009
ALLAML_shuffle_5	PERCH	0.621895	25.000000	1.965355
ALLAML_shuffle_6	PERCH	0.648992	3.000000	0.095963
ALLAML_shuffle_6	PERCH	0.679245	5.000000	0.230481
ALLAML_shuffle_6	PERCH	0.789935	7.000000	0.362457
ALLAML_shuffle_6	PERCH	0.651925	13.000000	0.644747
ALLAML_shuffle_6	PERCH	0.771310	15.000000	0.943822
ALLAML_shuffle_6	PERCH	0.652308	17.000000	1.312277
ALLAML_shuffle_6	PERCH	0.613828	21.000000	1.711530
ALLAML_shuffle_6	PERCH	0.579095	25.000000	2.182845
ALLAML_shuffle_7	PERCH	0.658732	3.000000	0.078271
ALLAML_shuffle_7	PERCH	0.624450	5.000000	0.212597
ALLAML_shuffle_7	PERCH	0.575467	7.000000	0.350280
ALLAML_shuffle_7	PERCH	0.584418	13.000000	0.629172
ALLAML_shuffle_7	PERCH	0.643762	15.000000	0.865654
ALLAML_shuffle_7	PERCH	0.598868	17.000000	1.151519
ALLAML_shuffle_7	PERCH	0.649004	21.000000	1.668160
ALLAML_shuffle_7	PERCH	0.669887	25.000000	2.077428
ALLAML_shuffle_8	PERCH	0.780859	3.000000	0.110432
ALLAML_shuffle_8	PERCH	0.659622	5.000000	0.237063
ALLAML_shuffle_8	PERCH	0.622198	7.000000	0.394603
ALLAML_shuffle_8	PERCH	0.601566	13.000000	0.619883
ALLAML_shuffle_8	PERCH	0.621860	15.000000	0.892058
ALLAML_shuffle_8	PERCH	0.644663	17.000000	1.226978
ALLAML_shuffle_8	PERCH	0.616403	21.000000	1.555712
ALLAML_shuffle_8	PERCH	0.646175	25.000000	1.961105
ALLAML_shuffle_9	PERCH	0.645201	3.000000	0.091969
ALLAML_shuffle_9	PERCH	0.674001	5.000000	0.216485
ALLAML_shuffle_9	PERCH	0.596251	7.000000	0.394356
ALLAML_shuffle_9	PERCH	0.605660	13.000000	0.615392
ALLAML_shuffle_9	PERCH	0.620997	15.000000	0.881094
ALLAML_shuffle_9	PERCH	0.645234	17.000000	1.190241
ALLAML_shuffle_9	PERCH	0.570584	21.000000	1.594919
ALLAML_shuffle_9	PERCH	0.631843	25.000000	2.055535
