dataset	algorithm	purity	psi	clustering_time_elapsed
COIL20_shuffle_0	PERCH	0.578896	3.000000	2.260547
COIL20_shuffle_0	PERCH	0.589795	5.000000	5.275512
COIL20_shuffle_0	PERCH	0.641991	7.000000	8.869063
COIL20_shuffle_0	PERCH	0.672069	13.000000	14.512958
COIL20_shuffle_0	PERCH	0.583293	15.000000	21.065390
COIL20_shuffle_0	PERCH	0.627804	17.000000	27.575027
COIL20_shuffle_0	PERCH	0.697747	21.000000	35.999895
COIL20_shuffle_0	PERCH	0.615596	25.000000	46.548012
COIL20_shuffle_1	PERCH	0.575364	3.000000	2.329698
COIL20_shuffle_1	PERCH	0.595697	5.000000	5.481268
COIL20_shuffle_1	PERCH	0.545332	7.000000	9.247436
COIL20_shuffle_1	PERCH	0.546898	13.000000	15.175748
COIL20_shuffle_1	PERCH	0.603583	15.000000	21.324450
COIL20_shuffle_1	PERCH	0.576909	17.000000	28.526308
COIL20_shuffle_1	PERCH	0.567189	21.000000	37.412927
COIL20_shuffle_1	PERCH	0.549211	25.000000	48.869786
COIL20_shuffle_2	PERCH	0.616492	3.000000	1.979659
COIL20_shuffle_2	PERCH	0.586815	5.000000	5.057540
COIL20_shuffle_2	PERCH	0.582511	7.000000	9.030762
COIL20_shuffle_2	PERCH	0.595842	13.000000	15.081976
COIL20_shuffle_2	PERCH	0.581197	15.000000	21.788773
COIL20_shuffle_2	PERCH	0.590551	17.000000	29.462050
COIL20_shuffle_2	PERCH	0.548671	21.000000	39.319449
COIL20_shuffle_2	PERCH	0.554511	25.000000	51.145081
COIL20_shuffle_3	PERCH	0.617308	3.000000	2.207399
COIL20_shuffle_3	PERCH	0.593448	5.000000	5.120958
COIL20_shuffle_3	PERCH	0.588334	7.000000	8.545116
COIL20_shuffle_3	PERCH	0.607957	13.000000	14.414931
COIL20_shuffle_3	PERCH	0.611310	15.000000	20.595131
COIL20_shuffle_3	PERCH	0.634299	17.000000	27.635925
COIL20_shuffle_3	PERCH	0.590595	21.000000	36.420048
COIL20_shuffle_3	PERCH	0.641386	25.000000	47.694007
COIL20_shuffle_4	PERCH	0.583714	3.000000	2.442622
COIL20_shuffle_4	PERCH	0.546824	5.000000	5.558425
COIL20_shuffle_4	PERCH	0.595158	7.000000	9.648218
COIL20_shuffle_4	PERCH	0.576689	13.000000	15.810679
COIL20_shuffle_4	PERCH	0.612125	15.000000	22.475524
COIL20_shuffle_4	PERCH	0.573057	17.000000	29.258039
COIL20_shuffle_4	PERCH	0.571827	21.000000	37.911354
COIL20_shuffle_4	PERCH	0.553796	25.000000	48.007678
COIL20_shuffle_5	PERCH	0.563473	3.000000	2.254277
COIL20_shuffle_5	PERCH	0.557150	5.000000	5.400356
COIL20_shuffle_5	PERCH	0.569605	7.000000	8.843366
COIL20_shuffle_5	PERCH	0.597275	13.000000	15.343779
COIL20_shuffle_5	PERCH	0.595599	15.000000	21.959298
COIL20_shuffle_5	PERCH	0.593144	17.000000	30.133962
COIL20_shuffle_5	PERCH	0.609633	21.000000	39.909111
COIL20_shuffle_5	PERCH	0.595626	25.000000	52.556407
COIL20_shuffle_6	PERCH	0.526867	3.000000	2.350335
COIL20_shuffle_6	PERCH	0.601205	5.000000	5.488265
COIL20_shuffle_6	PERCH	0.544418	7.000000	9.745482
COIL20_shuffle_6	PERCH	0.587144	13.000000	15.508897
COIL20_shuffle_6	PERCH	0.596968	15.000000	22.278178
COIL20_shuffle_6	PERCH	0.603673	17.000000	30.536635
COIL20_shuffle_6	PERCH	0.597644	21.000000	38.726231
COIL20_shuffle_6	PERCH	0.589196	25.000000	48.637811
COIL20_shuffle_7	PERCH	0.639971	3.000000	2.016786
COIL20_shuffle_7	PERCH	0.662914	5.000000	4.808626
COIL20_shuffle_7	PERCH	0.552714	7.000000	8.966778
COIL20_shuffle_7	PERCH	0.632252	13.000000	14.685524
COIL20_shuffle_7	PERCH	0.638412	15.000000	21.008575
COIL20_shuffle_7	PERCH	0.593556	17.000000	29.458097
COIL20_shuffle_7	PERCH	0.565102	21.000000	38.870744
COIL20_shuffle_7	PERCH	0.602907	25.000000	50.158395
COIL20_shuffle_8	PERCH	0.585425	3.000000	2.726789
COIL20_shuffle_8	PERCH	0.619279	5.000000	6.016784
COIL20_shuffle_8	PERCH	0.575671	7.000000	9.703722
COIL20_shuffle_8	PERCH	0.586297	13.000000	16.821418
COIL20_shuffle_8	PERCH	0.528862	15.000000	25.031739
COIL20_shuffle_8	PERCH	0.607414	17.000000	32.017107
COIL20_shuffle_8	PERCH	0.598369	21.000000	40.488071
COIL20_shuffle_8	PERCH	0.615794	25.000000	49.799064
COIL20_shuffle_9	PERCH	0.543218	3.000000	2.155092
COIL20_shuffle_9	PERCH	0.593763	5.000000	5.316861
COIL20_shuffle_9	PERCH	0.580059	7.000000	9.036500
COIL20_shuffle_9	PERCH	0.593132	13.000000	15.476191
COIL20_shuffle_9	PERCH	0.566576	15.000000	23.069879
COIL20_shuffle_9	PERCH	0.614617	17.000000	31.196907
COIL20_shuffle_9	PERCH	0.581350	21.000000	40.356153
COIL20_shuffle_9	PERCH	0.597107	25.000000	52.099245
