dataset	algorithm	purity	psi	clustering_time_elapsed
banknote_shuffle_0	PERCH	0.654267	3.000000	2.510862
banknote_shuffle_0	PERCH	0.685519	5.000000	5.002196
banknote_shuffle_0	PERCH	0.632397	7.000000	7.952389
banknote_shuffle_0	PERCH	0.569334	13.000000	12.892775
banknote_shuffle_0	PERCH	0.654791	15.000000	18.246516
banknote_shuffle_0	PERCH	0.688353	17.000000	24.524873
banknote_shuffle_0	PERCH	0.631227	21.000000	32.188339
banknote_shuffle_0	PERCH	0.624148	25.000000	41.560954
banknote_shuffle_1	PERCH	0.635216	3.000000	1.833153
banknote_shuffle_1	PERCH	0.667384	5.000000	4.425998
banknote_shuffle_1	PERCH	0.624184	7.000000	7.910177
banknote_shuffle_1	PERCH	0.786446	13.000000	13.292205
banknote_shuffle_1	PERCH	0.777773	15.000000	19.709297
banknote_shuffle_1	PERCH	0.721607	17.000000	26.502296
banknote_shuffle_1	PERCH	0.708153	21.000000	34.161262
banknote_shuffle_1	PERCH	0.727206	25.000000	43.891665
banknote_shuffle_2	PERCH	0.677751	3.000000	2.261947
banknote_shuffle_2	PERCH	0.723939	5.000000	4.958394
banknote_shuffle_2	PERCH	0.647730	7.000000	8.122629
banknote_shuffle_2	PERCH	0.596030	13.000000	13.644344
banknote_shuffle_2	PERCH	0.580374	15.000000	19.762894
banknote_shuffle_2	PERCH	0.604116	17.000000	27.482466
banknote_shuffle_2	PERCH	0.570495	21.000000	35.469606
