dataset	algorithm	purity	psi	clustering_time_elapsed
thyroid_shuffle_0	PERCH	0.759088	3.000000	0.252365
thyroid_shuffle_0	PERCH	0.692856	5.000000	0.580973
thyroid_shuffle_0	PERCH	0.760216	7.000000	0.995074
thyroid_shuffle_0	PERCH	0.764116	13.000000	1.674289
thyroid_shuffle_0	PERCH	0.709107	15.000000	2.459820
thyroid_shuffle_0	PERCH	0.691191	17.000000	3.315400
thyroid_shuffle_0	PERCH	0.651774	21.000000	4.439624
thyroid_shuffle_0	PERCH	0.670028	25.000000	5.677283
thyroid_shuffle_1	PERCH	0.741848	3.000000	0.249344
thyroid_shuffle_1	PERCH	0.693149	5.000000	0.585526
thyroid_shuffle_1	PERCH	0.774383	7.000000	0.994908
thyroid_shuffle_1	PERCH	0.697057	13.000000	1.707013
thyroid_shuffle_1	PERCH	0.674405	15.000000	2.471324
thyroid_shuffle_1	PERCH	0.642764	17.000000	3.381318
thyroid_shuffle_1	PERCH	0.622488	21.000000	4.420256
thyroid_shuffle_1	PERCH	0.645478	25.000000	5.672857
thyroid_shuffle_2	PERCH	0.754073	3.000000	0.251901
thyroid_shuffle_2	PERCH	0.797129	5.000000	0.594000
thyroid_shuffle_2	PERCH	0.704592	7.000000	1.034987
thyroid_shuffle_2	PERCH	0.727264	13.000000	1.708820
thyroid_shuffle_2	PERCH	0.666054	15.000000	2.499967
thyroid_shuffle_2	PERCH	0.671099	17.000000	3.357363
thyroid_shuffle_2	PERCH	0.619219	21.000000	4.427218
thyroid_shuffle_2	PERCH	0.642556	25.000000	5.675557
thyroid_shuffle_3	PERCH	0.753931	3.000000	0.248013
thyroid_shuffle_3	PERCH	0.713857	5.000000	0.580865
thyroid_shuffle_3	PERCH	0.757300	7.000000	1.010947
thyroid_shuffle_3	PERCH	0.714442	13.000000	1.737419
thyroid_shuffle_3	PERCH	0.613115	15.000000	2.511043
thyroid_shuffle_3	PERCH	0.622159	17.000000	3.417439
thyroid_shuffle_3	PERCH	0.606984	21.000000	4.481493
thyroid_shuffle_3	PERCH	0.668449	25.000000	5.757586
thyroid_shuffle_4	PERCH	0.737520	3.000000	0.258663
thyroid_shuffle_4	PERCH	0.771948	5.000000	0.597467
thyroid_shuffle_4	PERCH	0.671227	7.000000	1.024428
thyroid_shuffle_4	PERCH	0.638363	13.000000	1.691459
thyroid_shuffle_4	PERCH	0.682908	15.000000	2.475507
thyroid_shuffle_4	PERCH	0.629113	17.000000	3.372066
thyroid_shuffle_4	PERCH	0.745509	21.000000	4.397498
thyroid_shuffle_4	PERCH	0.667157	25.000000	5.604012
thyroid_shuffle_5	PERCH	0.815727	3.000000	0.254644
thyroid_shuffle_5	PERCH	0.742326	5.000000	0.615038
thyroid_shuffle_5	PERCH	0.736630	7.000000	1.065753
thyroid_shuffle_5	PERCH	0.773015	13.000000	1.764132
thyroid_shuffle_5	PERCH	0.755877	15.000000	2.526446
thyroid_shuffle_5	PERCH	0.712857	17.000000	3.381006
thyroid_shuffle_5	PERCH	0.634333	21.000000	4.472192
thyroid_shuffle_5	PERCH	0.651021	25.000000	5.770188
thyroid_shuffle_6	PERCH	0.729082	3.000000	0.249580
thyroid_shuffle_6	PERCH	0.802172	5.000000	0.595912
thyroid_shuffle_6	PERCH	0.715332	7.000000	1.030565
thyroid_shuffle_6	PERCH	0.810791	13.000000	1.752724
thyroid_shuffle_6	PERCH	0.707203	15.000000	2.547284
thyroid_shuffle_6	PERCH	0.688093	17.000000	3.424004
thyroid_shuffle_6	PERCH	0.697546	21.000000	4.483928
thyroid_shuffle_6	PERCH	0.751958	25.000000	5.748650
thyroid_shuffle_7	PERCH	0.679279	3.000000	0.253612
thyroid_shuffle_7	PERCH	0.776980	5.000000	0.596855
thyroid_shuffle_7	PERCH	0.779764	7.000000	1.048823
thyroid_shuffle_7	PERCH	0.669703	13.000000	1.788754
thyroid_shuffle_7	PERCH	0.626692	15.000000	2.567101
thyroid_shuffle_7	PERCH	0.678786	17.000000	3.692239
thyroid_shuffle_7	PERCH	0.645561	21.000000	4.822850
thyroid_shuffle_7	PERCH	0.658008	25.000000	6.085593
thyroid_shuffle_8	PERCH	0.812725	3.000000	0.245969
thyroid_shuffle_8	PERCH	0.702684	5.000000	0.558323
thyroid_shuffle_8	PERCH	0.653273	7.000000	0.967788
thyroid_shuffle_8	PERCH	0.661978	13.000000	1.650283
thyroid_shuffle_8	PERCH	0.650248	15.000000	2.433807
thyroid_shuffle_8	PERCH	0.684360	17.000000	3.314030
thyroid_shuffle_8	PERCH	0.671134	21.000000	4.382328
thyroid_shuffle_8	PERCH	0.653461	25.000000	5.693119
thyroid_shuffle_9	PERCH	0.757693	3.000000	0.241904
thyroid_shuffle_9	PERCH	0.767878	5.000000	0.580898
thyroid_shuffle_9	PERCH	0.701510	7.000000	1.008327
thyroid_shuffle_9	PERCH	0.715836	13.000000	1.764190
thyroid_shuffle_9	PERCH	0.696155	15.000000	2.542899
thyroid_shuffle_9	PERCH	0.665859	17.000000	3.420964
thyroid_shuffle_9	PERCH	0.746846	21.000000	4.552950
thyroid_shuffle_9	PERCH	0.634477	25.000000	5.837377
