dataset	algorithm	purity	psi	clustering_time_elapsed
LandCover_shuffle_0	PERCH	0.466049	3.000000	1.847266
LandCover_shuffle_0	PERCH	0.436873	5.000000	3.583140
LandCover_shuffle_0	PERCH	0.488697	7.000000	5.605831
LandCover_shuffle_0	PERCH	0.447727	13.000000	9.040009
LandCover_shuffle_0	PERCH	0.386246	15.000000	13.287390
LandCover_shuffle_0	PERCH	0.442099	17.000000	17.670600
LandCover_shuffle_0	PERCH	0.413422	21.000000	23.040247
LandCover_shuffle_0	PERCH	0.363617	25.000000	29.850451
LandCover_shuffle_1	PERCH	0.463519	3.000000	1.204486
LandCover_shuffle_1	PERCH	0.492428	5.000000	2.848801
LandCover_shuffle_1	PERCH	0.517552	7.000000	4.986009
LandCover_shuffle_1	PERCH	0.402048	13.000000	8.479782
LandCover_shuffle_1	PERCH	0.494833	15.000000	12.743226
LandCover_shuffle_1	PERCH	0.359453	17.000000	17.503689
LandCover_shuffle_1	PERCH	0.364750	21.000000	23.418735
LandCover_shuffle_1	PERCH	0.347722	25.000000	30.879195
LandCover_shuffle_2	PERCH	0.473935	3.000000	1.171065
LandCover_shuffle_2	PERCH	0.469664	5.000000	3.013819
LandCover_shuffle_2	PERCH	0.468647	7.000000	5.311865
LandCover_shuffle_2	PERCH	0.415804	13.000000	9.083533
LandCover_shuffle_2	PERCH	0.449436	15.000000	13.014436
LandCover_shuffle_2	PERCH	0.456045	17.000000	17.980895
LandCover_shuffle_2	PERCH	0.357981	21.000000	23.807878
LandCover_shuffle_2	PERCH	0.381880	25.000000	30.257236
LandCover_shuffle_3	PERCH	0.454953	3.000000	1.240876
LandCover_shuffle_3	PERCH	0.430324	5.000000	3.004416
LandCover_shuffle_3	PERCH	0.382555	7.000000	5.355300
LandCover_shuffle_3	PERCH	0.381193	13.000000	8.870320
LandCover_shuffle_3	PERCH	0.427778	15.000000	13.253835
LandCover_shuffle_3	PERCH	0.367226	17.000000	17.906872
LandCover_shuffle_3	PERCH	0.358814	21.000000	23.605553
LandCover_shuffle_3	PERCH	0.371219	25.000000	30.105454
LandCover_shuffle_4	PERCH	0.450021	3.000000	1.218215
LandCover_shuffle_4	PERCH	0.493321	5.000000	2.907068
LandCover_shuffle_4	PERCH	0.428396	7.000000	4.993438
LandCover_shuffle_4	PERCH	0.437243	13.000000	8.476509
LandCover_shuffle_4	PERCH	0.491103	15.000000	12.658660
LandCover_shuffle_4	PERCH	0.408334	17.000000	17.155227
LandCover_shuffle_4	PERCH	0.394423	21.000000	23.325944
LandCover_shuffle_4	PERCH	0.421294	25.000000	29.932358
LandCover_shuffle_5	PERCH	0.450524	3.000000	1.244971
LandCover_shuffle_5	PERCH	0.473642	5.000000	2.811076
LandCover_shuffle_5	PERCH	0.467948	7.000000	4.879798
