dataset	algorithm	purity	psi	clustering_time_elapsed
musk_shuffle_0	PERCH	0.548421	3.000000	0.722723
musk_shuffle_0	PERCH	0.537803	5.000000	1.943828
musk_shuffle_0	PERCH	0.571092	7.000000	3.174994
musk_shuffle_0	PERCH	0.539890	13.000000	5.296002
musk_shuffle_0	PERCH	0.537528	15.000000	7.737159
musk_shuffle_0	PERCH	0.547549	17.000000	10.632630
musk_shuffle_0	PERCH	0.542573	21.000000	14.053910
musk_shuffle_0	PERCH	0.546058	25.000000	17.987973
musk_shuffle_1	PERCH	0.536499	3.000000	0.849390
musk_shuffle_1	PERCH	0.558071	5.000000	1.953530
musk_shuffle_1	PERCH	0.546467	7.000000	3.383688
musk_shuffle_1	PERCH	0.531713	13.000000	5.464262
musk_shuffle_1	PERCH	0.551000	15.000000	7.650749
musk_shuffle_1	PERCH	0.531128	17.000000	10.255414
musk_shuffle_1	PERCH	0.527637	21.000000	13.244738
musk_shuffle_1	PERCH	0.547396	25.000000	16.780556
musk_shuffle_2	PERCH	0.530513	3.000000	0.739905
musk_shuffle_2	PERCH	0.543000	5.000000	1.913565
musk_shuffle_2	PERCH	0.544801	7.000000	3.358793
musk_shuffle_2	PERCH	0.554993	13.000000	5.642585
musk_shuffle_2	PERCH	0.545677	15.000000	8.172137
musk_shuffle_2	PERCH	0.542386	17.000000	10.676206
musk_shuffle_2	PERCH	0.538949	21.000000	14.393554
musk_shuffle_2	PERCH	0.541738	25.000000	17.627699
musk_shuffle_3	PERCH	0.536677	3.000000	0.849704
musk_shuffle_3	PERCH	0.537264	5.000000	1.762397
musk_shuffle_3	PERCH	0.560840	7.000000	3.056525
musk_shuffle_3	PERCH	0.556760	13.000000	5.053239
musk_shuffle_3	PERCH	0.550212	15.000000	7.207922
musk_shuffle_3	PERCH	0.548139	17.000000	9.484998
musk_shuffle_3	PERCH	0.573643	21.000000	12.496386
musk_shuffle_3	PERCH	0.574374	25.000000	16.526715
musk_shuffle_4	PERCH	0.536683	3.000000	0.771783
musk_shuffle_4	PERCH	0.548783	5.000000	1.855127
musk_shuffle_4	PERCH	0.543810	7.000000	3.084030
musk_shuffle_4	PERCH	0.542729	13.000000	5.098369
musk_shuffle_4	PERCH	0.544178	15.000000	7.495053
musk_shuffle_4	PERCH	0.574389	17.000000	10.224595
musk_shuffle_4	PERCH	0.534840	21.000000	13.327863
musk_shuffle_4	PERCH	0.550973	25.000000	17.568168
musk_shuffle_5	PERCH	0.549135	3.000000	0.782196
musk_shuffle_5	PERCH	0.568225	5.000000	1.783743
musk_shuffle_5	PERCH	0.560459	7.000000	3.010817
musk_shuffle_5	PERCH	0.551460	13.000000	5.028327
musk_shuffle_5	PERCH	0.544667	15.000000	7.241980
musk_shuffle_5	PERCH	0.542881	17.000000	9.710007
musk_shuffle_5	PERCH	0.553597	21.000000	12.561994
musk_shuffle_5	PERCH	0.562369	25.000000	15.932624
musk_shuffle_6	PERCH	0.542992	3.000000	0.674542
musk_shuffle_6	PERCH	0.544155	5.000000	1.629675
musk_shuffle_6	PERCH	0.540546	7.000000	2.924875
musk_shuffle_6	PERCH	0.561719	13.000000	5.003888
musk_shuffle_6	PERCH	0.547490	15.000000	7.471679
musk_shuffle_6	PERCH	0.529181	17.000000	10.123789
musk_shuffle_6	PERCH	0.560785	21.000000	13.313853
musk_shuffle_6	PERCH	0.554880	25.000000	17.344414
musk_shuffle_7	PERCH	0.540064	3.000000	0.809883
musk_shuffle_7	PERCH	0.545765	5.000000	1.914141
musk_shuffle_7	PERCH	0.575312	7.000000	3.296134
musk_shuffle_7	PERCH	0.572139	13.000000	5.219926
musk_shuffle_7	PERCH	0.538207	15.000000	7.364169
musk_shuffle_7	PERCH	0.545372	17.000000	9.811459
musk_shuffle_7	PERCH	0.540594	21.000000	12.709392
musk_shuffle_7	PERCH	0.550390	25.000000	15.802517
musk_shuffle_8	PERCH	0.539016	3.000000	0.711158
musk_shuffle_8	PERCH	0.576296	5.000000	1.658140
musk_shuffle_8	PERCH	0.534464	7.000000	2.794471
musk_shuffle_8	PERCH	0.551549	13.000000	4.653768
musk_shuffle_8	PERCH	0.541360	15.000000	6.880666
musk_shuffle_8	PERCH	0.557553	17.000000	9.459916
musk_shuffle_8	PERCH	0.544472	21.000000	12.342736
musk_shuffle_8	PERCH	0.523221	25.000000	16.073995
musk_shuffle_9	PERCH	0.544655	3.000000	0.776277
musk_shuffle_9	PERCH	0.541358	5.000000	1.924327
musk_shuffle_9	PERCH	0.551363	7.000000	3.240477
musk_shuffle_9	PERCH	0.562196	13.000000	5.508133
musk_shuffle_9	PERCH	0.538192	15.000000	7.718408
musk_shuffle_9	PERCH	0.546480	17.000000	10.451540
musk_shuffle_9	PERCH	0.555962	21.000000	13.487952
musk_shuffle_9	PERCH	0.551387	25.000000	17.011348
