dataset	algorithm	purity	psi	clustering_time_elapsed
seeds_shuffle_0	PERCH	0.791548	3.000000	0.242818
seeds_shuffle_0	PERCH	0.864704	5.000000	0.583289
seeds_shuffle_0	PERCH	0.611601	7.000000	1.059184
seeds_shuffle_0	PERCH	0.638753	13.000000	1.805078
seeds_shuffle_0	PERCH	0.594609	15.000000	2.776780
seeds_shuffle_0	PERCH	0.591417	17.000000	3.809033
seeds_shuffle_0	PERCH	0.573030	21.000000	5.065415
seeds_shuffle_0	PERCH	0.589142	25.000000	6.559223
seeds_shuffle_1	PERCH	0.722699	3.000000	0.307900
seeds_shuffle_1	PERCH	0.809771	5.000000	0.693722
seeds_shuffle_1	PERCH	0.703516	7.000000	1.166727
seeds_shuffle_1	PERCH	0.629691	13.000000	1.967766
seeds_shuffle_1	PERCH	0.544685	15.000000	2.751980
seeds_shuffle_1	PERCH	0.534597	17.000000	3.782469
seeds_shuffle_1	PERCH	0.454505	21.000000	4.997990
seeds_shuffle_1	PERCH	0.532395	25.000000	6.318494
seeds_shuffle_2	PERCH	0.774020	3.000000	0.294124
seeds_shuffle_2	PERCH	0.757093	5.000000	0.663647
seeds_shuffle_2	PERCH	0.696648	7.000000	1.079316
seeds_shuffle_2	PERCH	0.671108	13.000000	1.774515
seeds_shuffle_2	PERCH	0.687621	15.000000	2.522916
seeds_shuffle_2	PERCH	0.723190	17.000000	3.355125
seeds_shuffle_2	PERCH	0.588014	21.000000	4.475356
seeds_shuffle_2	PERCH	0.718714	25.000000	5.754811
seeds_shuffle_3	PERCH	0.792984	3.000000	0.291224
seeds_shuffle_3	PERCH	0.675722	5.000000	0.657775
seeds_shuffle_3	PERCH	0.542126	7.000000	1.081013
seeds_shuffle_3	PERCH	0.669012	13.000000	1.883872
seeds_shuffle_3	PERCH	0.549822	15.000000	2.633493
seeds_shuffle_3	PERCH	0.461475	17.000000	3.570604
seeds_shuffle_3	PERCH	0.521373	21.000000	4.686159
seeds_shuffle_3	PERCH	0.487856	25.000000	5.963244
seeds_shuffle_4	PERCH	0.636041	3.000000	0.236459
seeds_shuffle_4	PERCH	0.813359	5.000000	0.550687
seeds_shuffle_4	PERCH	0.699441	7.000000	0.962401
seeds_shuffle_4	PERCH	0.766536	13.000000	1.612020
seeds_shuffle_4	PERCH	0.599865	15.000000	2.406810
seeds_shuffle_4	PERCH	0.572721	17.000000	3.276532
seeds_shuffle_4	PERCH	0.571742	21.000000	4.372309
seeds_shuffle_4	PERCH	0.465284	25.000000	5.643291
seeds_shuffle_5	PERCH	0.782950	3.000000	0.238729
seeds_shuffle_5	PERCH	0.725840	5.000000	0.565659
seeds_shuffle_5	PERCH	0.659399	7.000000	0.985099
seeds_shuffle_5	PERCH	0.579469	13.000000	1.673531
seeds_shuffle_5	PERCH	0.645806	15.000000	2.449376
seeds_shuffle_5	PERCH	0.696786	17.000000	3.275914
seeds_shuffle_5	PERCH	0.583134	21.000000	4.278970
seeds_shuffle_5	PERCH	0.564633	25.000000	5.532027
seeds_shuffle_6	PERCH	0.631952	3.000000	0.245805
seeds_shuffle_6	PERCH	0.689234	5.000000	0.589698
seeds_shuffle_6	PERCH	0.671249	7.000000	1.027325
seeds_shuffle_6	PERCH	0.722399	13.000000	1.713219
seeds_shuffle_6	PERCH	0.469893	15.000000	2.493030
seeds_shuffle_6	PERCH	0.440744	17.000000	3.397782
seeds_shuffle_6	PERCH	0.486945	21.000000	4.487433
seeds_shuffle_6	PERCH	0.476695	25.000000	5.774831
seeds_shuffle_7	PERCH	0.837719	3.000000	0.273584
seeds_shuffle_7	PERCH	0.720781	5.000000	0.629971
seeds_shuffle_7	PERCH	0.697388	7.000000	1.055612
seeds_shuffle_7	PERCH	0.492018	13.000000	1.777892
seeds_shuffle_7	PERCH	0.620669	15.000000	2.629512
seeds_shuffle_7	PERCH	0.691929	17.000000	3.523829
seeds_shuffle_7	PERCH	0.581599	21.000000	4.609689
seeds_shuffle_7	PERCH	0.485063	25.000000	5.882074
seeds_shuffle_8	PERCH	0.717854	3.000000	0.256871
seeds_shuffle_8	PERCH	0.791676	5.000000	0.579596
seeds_shuffle_8	PERCH	0.700642	7.000000	1.026331
seeds_shuffle_8	PERCH	0.626203	13.000000	1.732069
seeds_shuffle_8	PERCH	0.515620	15.000000	2.597737
seeds_shuffle_8	PERCH	0.493436	17.000000	3.490482
seeds_shuffle_8	PERCH	0.636451	21.000000	4.534192
seeds_shuffle_8	PERCH	0.600265	25.000000	5.857093
seeds_shuffle_9	PERCH	0.706953	3.000000	0.270340
seeds_shuffle_9	PERCH	0.748711	5.000000	0.598452
seeds_shuffle_9	PERCH	0.741957	7.000000	1.032490
seeds_shuffle_9	PERCH	0.624514	13.000000	1.821709
seeds_shuffle_9	PERCH	0.625130	15.000000	2.632813
seeds_shuffle_9	PERCH	0.585302	17.000000	3.525201
seeds_shuffle_9	PERCH	0.649390	21.000000	4.598083
seeds_shuffle_9	PERCH	0.502778	25.000000	5.879701
