algorithm	dataset	psi	beta	purity
IKSHC	banknote	3	0.400000	0.665535
IKSHC	banknote	3	0.500000	0.646988
IKSHC	banknote	3	0.600000	0.670307
IKSHC	banknote	3	0.700000	0.653419
IKSHC	banknote	3	0.800000	0.646211
IKSHC	banknote	3	0.900000	0.677604
IKSHC	banknote	5	0.400000	0.673591
IKSHC	banknote	5	0.500000	0.671143
IKSHC	banknote	5	0.600000	0.666938
IKSHC	banknote	5	0.700000	0.676441
IKSHC	banknote	5	0.800000	0.664023
IKSHC	banknote	5	0.900000	0.657275
IKSHC	banknote	7	0.400000	0.650635
IKSHC	banknote	7	0.500000	0.672417
IKSHC	banknote	7	0.600000	0.664271
IKSHC	banknote	7	0.700000	0.676032
IKSHC	banknote	7	0.800000	0.673702
IKSHC	banknote	7	0.900000	0.678982
IKSHC	banknote	13	0.400000	0.710584
IKSHC	banknote	13	0.500000	0.686323
IKSHC	banknote	13	0.600000	0.717941
IKSHC	banknote	13	0.700000	0.667680
IKSHC	banknote	13	0.800000	0.660634
IKSHC	banknote	13	0.900000	0.761012
IKSHC	banknote	15	0.400000	0.678837
IKSHC	banknote	15	0.500000	0.675046
IKSHC	banknote	15	0.600000	0.666610
IKSHC	banknote	15	0.700000	0.765337
IKSHC	banknote	15	0.800000	0.674703
IKSHC	banknote	15	0.900000	0.675400
IKSHC	banknote	17	0.400000	0.641242
IKSHC	banknote	17	0.500000	0.662321
IKSHC	banknote	17	0.600000	0.773150
IKSHC	banknote	17	0.700000	0.678967
IKSHC	banknote	17	0.800000	0.756186
IKSHC	banknote	17	0.900000	0.762536
IKSHC	banknote	21	0.400000	0.677048
IKSHC	banknote	21	0.500000	0.671736
IKSHC	banknote	21	0.600000	0.774815
IKSHC	banknote	21	0.700000	0.675448
IKSHC	banknote	21	0.800000	0.660834
IKSHC	banknote	21	0.900000	0.686413
IKSHC	banknote	25	0.400000	0.676614
IKSHC	banknote	25	0.500000	0.674306
IKSHC	banknote	25	0.600000	0.707451
IKSHC	banknote	25	0.700000	0.768180
IKSHC	banknote	25	0.800000	0.673473
IKSHC	banknote	25	0.900000	0.663122
IKSHC	banknote	3	0.400000	0.603009
IKSHC	banknote	3	0.500000	0.621449
IKSHC	banknote	3	0.600000	0.630224
IKSHC	banknote	3	0.700000	0.588446
IKSHC	banknote	3	0.800000	0.609312
IKSHC	banknote	3	0.900000	0.612929
IKSHC	banknote	5	0.400000	0.634096
IKSHC	banknote	5	0.500000	0.626028
IKSHC	banknote	5	0.600000	0.636911
IKSHC	banknote	5	0.700000	0.634582
IKSHC	banknote	5	0.800000	0.623628
IKSHC	banknote	5	0.900000	0.667309
IKSHC	banknote	7	0.400000	0.665695
IKSHC	banknote	7	0.500000	0.636108
IKSHC	banknote	7	0.600000	0.636966
IKSHC	banknote	7	0.700000	0.667396
IKSHC	banknote	7	0.800000	0.657200
IKSHC	banknote	7	0.900000	0.664449
IKSHC	banknote	13	0.400000	0.687645
IKSHC	banknote	13	0.500000	0.690004
IKSHC	banknote	13	0.600000	0.676148
IKSHC	banknote	13	0.700000	0.700342
IKSHC	banknote	13	0.800000	0.688690
IKSHC	banknote	13	0.900000	0.691480
IKSHC	banknote	15	0.400000	0.677129
IKSHC	banknote	15	0.500000	0.705691
IKSHC	banknote	15	0.600000	0.701884
IKSHC	banknote	15	0.700000	0.676580
IKSHC	banknote	15	0.800000	0.622384
IKSHC	banknote	15	0.900000	0.678896
IKSHC	banknote	17	0.400000	0.658234
IKSHC	banknote	17	0.500000	0.702997
IKSHC	banknote	17	0.600000	0.701891
IKSHC	banknote	17	0.700000	0.697943
IKSHC	banknote	17	0.800000	0.712978
IKSHC	banknote	17	0.900000	0.706375
IKSHC	banknote	21	0.400000	0.753203
IKSHC	banknote	21	0.500000	0.692470
IKSHC	banknote	21	0.600000	0.717574
