algorithm	dataset	purity
IKSHC	LandCover	0.548842
IKSHC	LandCover	0.601918
IKSHC	LandCover	0.588194
IKSHC	LandCover	0.577599
IKSHC	LandCover	0.568140
IKSHC	LandCover	0.559584
IKSHC	LandCover	0.537994
IKSHC	LandCover	0.556114
IKSHC	LandCover	0.570813
IKSHC	LandCover	0.580663
IKSHC	LSVT	0.672602
IKSHC	LSVT	0.673787
IKSHC	LSVT	0.721344
IKSHC	LSVT	0.693514
IKSHC	LSVT	0.700271
IKSHC	LSVT	0.702363
IKSHC	LSVT	0.672850
IKSHC	LSVT	0.729297
IKSHC	LSVT	0.687424
IKSHC	LSVT	0.682780
IKSHC	lung	0.856592
IKSHC	lung	0.926528
IKSHC	lung	0.915956
IKSHC	lung	0.921916
IKSHC	lung	0.867740
IKSHC	lung	0.941010
IKSHC	lung	0.938835
IKSHC	lung	0.919509
IKSHC	lung	0.944690
IKSHC	lung	0.895654
IKSHC	musk	0.570824
IKSHC	musk	0.557976
IKSHC	musk	0.554170
IKSHC	musk	0.553883
IKSHC	musk	0.552737
IKSHC	musk	0.549605
IKSHC	musk	0.560993
IKSHC	musk	0.566265
IKSHC	musk	0.564867
IKSHC	musk	0.552337
IKSHC	pendig	0.651707
IKSHC	pendig	0.649235
IKSHC	pendig	0.674681
IKSHC	pendig	0.636846
