dataset	algorithm	purity	clustering_time_elapsed	max_psi	max_rt
lung_shuffle_0	IKSHC	0.856592	0.402811	17	0.9
lung_shuffle_1	IKSHC	0.926528	0.389640	15	0.6
lung_shuffle_2	IKSHC	0.915956	0.383675	17	0.9
lung_shuffle_3	IKSHC	0.921916	0.405103	21	0.4
lung_shuffle_4	IKSHC	0.867740	0.394739	25	0.4
lung_shuffle_5	IKSHC	0.941010	0.417073	15	0.6
lung_shuffle_6	IKSHC	0.938835	0.395819	15	0.5
lung_shuffle_7	IKSHC	0.919509	0.438812	13	0.9
lung_shuffle_8	IKSHC	0.944690	0.400292	15	0.6
lung_shuffle_9	IKSHC	0.895654	0.410215	25	0.9
