dataset	algorithm	purity	clustering_time_elapsed	max_psi	max_rt
musk_shuffle_0	IKSHC	0.570824	0.852161	25	0.7
musk_shuffle_1	IKSHC	0.557976	0.814655	25	0.7
musk_shuffle_2	IKSHC	0.554170	0.758156	13	0.8
musk_shuffle_3	IKSHC	0.553883	0.766948	7	0.5
musk_shuffle_4	IKSHC	0.552737	0.773477	13	0.9
musk_shuffle_5	IKSHC	0.549605	0.750716	21	0.4
musk_shuffle_6	IKSHC	0.560993	0.808569	15	0.4
musk_shuffle_7	IKSHC	0.566265	0.801182	17	0.6
musk_shuffle_8	IKSHC	0.564867	0.795370	25	0.7
musk_shuffle_9	IKSHC	0.552337	0.778338	7	0.8
