dataset	algorithm	purity	clustering_time_elapsed	max_psi	max_rt
hill_shuffle_0	IKSHC	0.505429	0.897116	15	0.8
hill_shuffle_1	IKSHC	0.506192	0.883528	15	0.6
hill_shuffle_2	IKSHC	0.504995	0.891978	15	0.8
hill_shuffle_3	IKSHC	0.504971	0.930988	13	0.9
hill_shuffle_4	IKSHC	0.506948	0.928602	13	0.6
hill_shuffle_5	IKSHC	0.506686	0.919193	7	0.6
hill_shuffle_6	IKSHC	0.506525	0.892610	7	0.7
hill_shuffle_7	IKSHC	0.504356	0.844261	15	0.7
hill_shuffle_8	IKSHC	0.507914	0.966966	13	0.9
hill_shuffle_9	IKSHC	0.505463	0.964332	13	0.7
