dataset	algorithm	purity	clustering_time_elapsed	max_psi	max_rt
musk_shuffle_0	IKSHC	0.548795	0.367691	13	0.7
musk_shuffle_1	IKSHC	0.551654	0.385465	15	0.7
musk_shuffle_2	IKSHC	0.547965	0.369673	7	0.6
musk_shuffle_3	IKSHC	0.546863	0.385610	13	0.6
musk_shuffle_4	IKSHC	0.538888	0.379748	3	0.6
musk_shuffle_5	IKSHC	0.542377	0.376922	15	0.7
musk_shuffle_6	IKSHC	0.561679	0.383649	13	0.6
musk_shuffle_7	IKSHC	0.561940	0.381458	15	0.6
musk_shuffle_8	IKSHC	0.545706	0.380426	13	0.7
musk_shuffle_9	IKSHC	0.558863	0.375834	13	0.7
