dataset	algorithm	purity	clustering_time_elapsed	max_psi	max_rt
COIL20_shuffle_0	IKSHC	0.573117	0.000000	15	0.6
COIL20_shuffle_1	IKSHC	0.559459	0.000000	15	0.6
COIL20_shuffle_2	IKSHC	0.558320	0.000000	13	0.6
COIL20_shuffle_3	IKSHC	0.550963	0.000000	15	0.6
COIL20_shuffle_4	IKSHC	0.539435	0.000000	15	0.6
COIL20_shuffle_5	IKSHC	0.612215	0.000000	15	0.6
COIL20_shuffle_6	IKSHC	0.575133	0.000000	15	0.6
COIL20_shuffle_7	IKSHC	0.592869	0.000000	15	0.6
COIL20_shuffle_8	IKSHC	0.567207	0.000000	13	0.6
COIL20_shuffle_9	IKSHC	0.566662	0.000000	13	0.6
