dataset	algorithm	purity	clustering_time_elapsed	max_psi	max_rt
ALLAML_shuffle_0	IKSHC	0.740649	0.000000	13	0.6
ALLAML_shuffle_1	IKSHC	0.733870	0.000000	13	0.6
ALLAML_shuffle_2	IKSHC	0.681940	0.000000	13	0.8
ALLAML_shuffle_3	IKSHC	0.716260	0.000000	13	0.6
ALLAML_shuffle_4	IKSHC	0.732664	0.000000	7	0.8
ALLAML_shuffle_5	IKSHC	0.723128	0.000000	15	0.8
ALLAML_shuffle_6	IKSHC	0.706700	0.000000	3	0.8
ALLAML_shuffle_7	IKSHC	0.749152	0.000000	15	0.8
ALLAML_shuffle_8	IKSHC	0.683273	0.000000	5	0.7
ALLAML_shuffle_9	IKSHC	0.717386	0.000000	3	0.6
