algorithm	dataset	psi	beta	purity
IKSHC	hard1	3	0.400000	0.883385
IKSHC	hard1	3	0.500000	0.892862
IKSHC	hard1	3	0.600000	0.907923
IKSHC	hard1	3	0.700000	0.926599
IKSHC	hard1	3	0.800000	0.926797
IKSHC	hard1	3	0.900000	0.932065
IKSHC	hard1	5	0.400000	0.904739
IKSHC	hard1	5	0.500000	0.876757
IKSHC	hard1	5	0.600000	0.873278
IKSHC	hard1	5	0.700000	0.876050
IKSHC	hard1	5	0.800000	0.882567
IKSHC	hard1	5	0.900000	0.881548
IKSHC	hard1	7	0.400000	0.899957
IKSHC	hard1	7	0.500000	0.851925
IKSHC	hard1	7	0.600000	0.892629
IKSHC	hard1	7	0.700000	0.894702
IKSHC	hard1	7	0.800000	0.905363
IKSHC	hard1	7	0.900000	0.912187
IKSHC	hard1	13	0.400000	0.914008
IKSHC	hard1	13	0.500000	0.941662
IKSHC	hard1	13	0.600000	0.904730
IKSHC	hard1	13	0.700000	0.942768
IKSHC	hard1	13	0.800000	0.945707
IKSHC	hard1	13	0.900000	0.911252
IKSHC	hard1	15	0.400000	0.945251
IKSHC	hard1	15	0.500000	0.905895
IKSHC	hard1	15	0.600000	0.907630
IKSHC	hard1	15	0.700000	0.924729
IKSHC	hard1	15	0.800000	0.905995
IKSHC	hard1	15	0.900000	0.918312
IKSHC	hard1	17	0.400000	0.858429
IKSHC	hard1	17	0.500000	0.902837
IKSHC	hard1	17	0.600000	0.901591
IKSHC	hard1	17	0.700000	0.900832
IKSHC	hard1	17	0.800000	0.860139
IKSHC	hard1	17	0.900000	0.933460
IKSHC	hard1	21	0.400000	0.870522
IKSHC	hard1	21	0.500000	0.926386
IKSHC	hard1	21	0.600000	0.842080
IKSHC	hard1	21	0.700000	0.856846
IKSHC	hard1	21	0.800000	0.853076
IKSHC	hard1	21	0.900000	0.848384
IKSHC	hard1	25	0.400000	0.877086
IKSHC	hard1	25	0.500000	0.794016
IKSHC	hard1	25	0.600000	0.786212
IKSHC	hard1	25	0.700000	0.835070
IKSHC	hard1	25	0.800000	0.820912
IKSHC	hard1	25	0.900000	0.845217
IKSHC	hard1	3	0.400000	0.871868
IKSHC	hard1	3	0.500000	0.870959
IKSHC	hard1	3	0.600000	0.903879
IKSHC	hard1	3	0.700000	0.866983
IKSHC	hard1	3	0.800000	0.944966
IKSHC	hard1	3	0.900000	0.874647
IKSHC	hard1	5	0.400000	0.885021
IKSHC	hard1	5	0.500000	0.926642
IKSHC	hard1	5	0.600000	0.931879
IKSHC	hard1	5	0.700000	0.943983
IKSHC	hard1	5	0.800000	0.933552
IKSHC	hard1	5	0.900000	0.939974
IKSHC	hard1	7	0.400000	0.957969
IKSHC	hard1	7	0.500000	0.947418
IKSHC	hard1	7	0.600000	0.950960
IKSHC	hard1	7	0.700000	0.958168
IKSHC	hard1	7	0.800000	0.951187
IKSHC	hard1	7	0.900000	0.958117
IKSHC	hard1	13	0.400000	0.943303
IKSHC	hard1	13	0.500000	0.938396
IKSHC	hard1	13	0.600000	0.951118
IKSHC	hard1	13	0.700000	0.945591
IKSHC	hard1	13	0.800000	0.945142
IKSHC	hard1	13	0.900000	0.952701
IKSHC	hard1	15	0.400000	0.938948
IKSHC	hard1	15	0.500000	0.950570
IKSHC	hard1	15	0.600000	0.945940
IKSHC	hard1	15	0.700000	0.946080
IKSHC	hard1	15	0.800000	0.939942
IKSHC	hard1	15	0.900000	0.942151
IKSHC	hard1	17	0.400000	0.944429
IKSHC	hard1	17	0.500000	0.939489
IKSHC	hard1	17	0.600000	0.950634
IKSHC	hard1	17	0.700000	0.939438
IKSHC	hard1	17	0.800000	0.941078
IKSHC	hard1	17	0.900000	0.940215
IKSHC	hard1	21	0.400000	0.944329
IKSHC	hard1	21	0.500000	0.946237
IKSHC	hard1	21	0.600000	0.951018
IKSHC	hard1	21	0.700000	0.953361
IKSHC	hard1	21	0.800000	0.947071
IKSHC	hard1	21	0.900000	0.949282
IKSHC	hard1	25	0.400000	0.915728
IKSHC	hard1	25	0.500000	0.950060
IKSHC	hard1	25	0.600000	0.949552
IKSHC	hard1	25	0.700000	0.942334
IKSHC	hard1	25	0.800000	0.950890
IKSHC	hard1	25	0.900000	0.935891
IKSHC	hard1	3	0.400000	0.947455
IKSHC	hard1	3	0.500000	0.953461
IKSHC	hard1	3	0.600000	0.947113
IKSHC	hard1	3	0.700000	0.947776
IKSHC	hard1	3	0.800000	0.946881
IKSHC	hard1	3	0.900000	0.952692
IKSHC	hard1	5	0.400000	0.937452
IKSHC	hard1	5	0.500000	0.940735
IKSHC	hard1	5	0.600000	0.940894
IKSHC	hard1	5	0.700000	0.947130
IKSHC	hard1	5	0.800000	0.951399
IKSHC	hard1	5	0.900000	0.946092
IKSHC	hard1	7	0.400000	0.944773
IKSHC	hard1	7	0.500000	0.944944
IKSHC	hard1	7	0.600000	0.945792
IKSHC	hard1	7	0.700000	0.938111
IKSHC	hard1	7	0.800000	0.944653
IKSHC	hard1	7	0.900000	0.943661
IKSHC	hard1	13	0.400000	0.934630
IKSHC	hard1	13	0.500000	0.949931
IKSHC	hard1	13	0.600000	0.943194
IKSHC	hard1	13	0.700000	0.948521
IKSHC	hard1	13	0.800000	0.937375
IKSHC	hard1	13	0.900000	0.951790
IKSHC	hard1	15	0.400000	0.941248
IKSHC	hard1	15	0.500000	0.948667
IKSHC	hard1	15	0.600000	0.937229
IKSHC	hard1	15	0.700000	0.941450
IKSHC	hard1	15	0.800000	0.946762
IKSHC	hard1	15	0.900000	0.942030
IKSHC	hard1	17	0.400000	0.943776
IKSHC	hard1	17	0.500000	0.947623
IKSHC	hard1	17	0.600000	0.942407
IKSHC	hard1	17	0.700000	0.942931
IKSHC	hard1	17	0.800000	0.951831
IKSHC	hard1	17	0.900000	0.942344
IKSHC	hard1	21	0.400000	0.944519
IKSHC	hard1	21	0.500000	0.942200
IKSHC	hard1	21	0.600000	0.941539
IKSHC	hard1	21	0.700000	0.943519
IKSHC	hard1	21	0.800000	0.935761
IKSHC	hard1	21	0.900000	0.940402
IKSHC	hard1	25	0.400000	0.942003
IKSHC	hard1	25	0.500000	0.947718
IKSHC	hard1	25	0.600000	0.951708
IKSHC	hard1	25	0.700000	0.935988
IKSHC	hard1	25	0.800000	0.941831
IKSHC	hard1	25	0.900000	0.926409
IKSHC	hard1	3	0.400000	0.954850
IKSHC	hard1	3	0.500000	0.956657
IKSHC	hard1	3	0.600000	0.951681
IKSHC	hard1	3	0.700000	0.961339
IKSHC	hard1	3	0.800000	0.956581
IKSHC	hard1	3	0.900000	0.953070
IKSHC	hard1	5	0.400000	0.962051
IKSHC	hard1	5	0.500000	0.955757
IKSHC	hard1	5	0.600000	0.958916
IKSHC	hard1	5	0.700000	0.951142
IKSHC	hard1	5	0.800000	0.953285
IKSHC	hard1	5	0.900000	0.951478
IKSHC	hard1	7	0.400000	0.959256
IKSHC	hard1	7	0.500000	0.950803
IKSHC	hard1	7	0.600000	0.950166
IKSHC	hard1	7	0.700000	0.950493
IKSHC	hard1	7	0.800000	0.957677
IKSHC	hard1	7	0.900000	0.945261
IKSHC	hard1	13	0.400000	0.945322
IKSHC	hard1	13	0.500000	0.949101
IKSHC	hard1	13	0.600000	0.944750
IKSHC	hard1	13	0.700000	0.949507
IKSHC	hard1	13	0.800000	0.955462
IKSHC	hard1	13	0.900000	0.950255
IKSHC	hard1	15	0.400000	0.949475
IKSHC	hard1	15	0.500000	0.949262
IKSHC	hard1	15	0.600000	0.946746
IKSHC	hard1	15	0.700000	0.953740
IKSHC	hard1	15	0.800000	0.936442
IKSHC	hard1	15	0.900000	0.953833
IKSHC	hard1	17	0.400000	0.944138
IKSHC	hard1	17	0.500000	0.953997
IKSHC	hard1	17	0.600000	0.944653
IKSHC	hard1	17	0.700000	0.943406
IKSHC	hard1	17	0.800000	0.956718
IKSHC	hard1	17	0.900000	0.945302
IKSHC	hard1	21	0.400000	0.932623
IKSHC	hard1	21	0.500000	0.940546
IKSHC	hard1	21	0.600000	0.939084
IKSHC	hard1	21	0.700000	0.923084
IKSHC	hard1	21	0.800000	0.927680
IKSHC	hard1	21	0.900000	0.925062
IKSHC	hard1	25	0.400000	0.924736
IKSHC	hard1	25	0.500000	0.915541
IKSHC	hard1	25	0.600000	0.919666
IKSHC	hard1	25	0.700000	0.931704
IKSHC	hard1	25	0.800000	0.929211
IKSHC	hard1	25	0.900000	0.921055
IKSHC	hard1	3	0.400000	0.871825
IKSHC	hard1	3	0.500000	0.817361
IKSHC	hard1	3	0.600000	0.858342
IKSHC	hard1	3	0.700000	0.785204
IKSHC	hard1	3	0.800000	0.799987
IKSHC	hard1	3	0.900000	0.898484
IKSHC	hard1	5	0.400000	0.913290
IKSHC	hard1	5	0.500000	0.920186
IKSHC	hard1	5	0.600000	0.925752
IKSHC	hard1	5	0.700000	0.921019
IKSHC	hard1	5	0.800000	0.933162
IKSHC	hard1	5	0.900000	0.927084
IKSHC	hard1	7	0.400000	0.924038
IKSHC	hard1	7	0.500000	0.931361
IKSHC	hard1	7	0.600000	0.937863
IKSHC	hard1	7	0.700000	0.940352
IKSHC	hard1	7	0.800000	0.930913
IKSHC	hard1	7	0.900000	0.935796
IKSHC	hard1	13	0.400000	0.931241
IKSHC	hard1	13	0.500000	0.931514
IKSHC	hard1	13	0.600000	0.931612
IKSHC	hard1	13	0.700000	0.933257
IKSHC	hard1	13	0.800000	0.926518
IKSHC	hard1	13	0.900000	0.924148
IKSHC	hard1	15	0.400000	0.941733
IKSHC	hard1	15	0.500000	0.907890
IKSHC	hard1	15	0.600000	0.928517
IKSHC	hard1	15	0.700000	0.923962
IKSHC	hard1	15	0.800000	0.929950
IKSHC	hard1	15	0.900000	0.940198
IKSHC	hard1	17	0.400000	0.934452
IKSHC	hard1	17	0.500000	0.915740
IKSHC	hard1	17	0.600000	0.938333
IKSHC	hard1	17	0.700000	0.933165
IKSHC	hard1	17	0.800000	0.945685
IKSHC	hard1	17	0.900000	0.917951
IKSHC	hard1	21	0.400000	0.902990
IKSHC	hard1	21	0.500000	0.932166
IKSHC	hard1	21	0.600000	0.933657
IKSHC	hard1	21	0.700000	0.932405
IKSHC	hard1	21	0.800000	0.921686
IKSHC	hard1	21	0.900000	0.936031
IKSHC	hard1	25	0.400000	0.928577
IKSHC	hard1	25	0.500000	0.937776
IKSHC	hard1	25	0.600000	0.907033
IKSHC	hard1	25	0.700000	0.908930
IKSHC	hard1	25	0.800000	0.902585
IKSHC	hard1	25	0.900000	0.900009
IKSHC	hard1	3	0.400000	0.862040
IKSHC	hard1	3	0.500000	0.935430
IKSHC	hard1	3	0.600000	0.899003
IKSHC	hard1	3	0.700000	0.868775
IKSHC	hard1	3	0.800000	0.902681
IKSHC	hard1	3	0.900000	0.908115
IKSHC	hard1	5	0.400000	0.952336
IKSHC	hard1	5	0.500000	0.950310
IKSHC	hard1	5	0.600000	0.954765
IKSHC	hard1	5	0.700000	0.932543
IKSHC	hard1	5	0.800000	0.941996
IKSHC	hard1	5	0.900000	0.948302
IKSHC	hard1	7	0.400000	0.950607
IKSHC	hard1	7	0.500000	0.941881
IKSHC	hard1	7	0.600000	0.933353
IKSHC	hard1	7	0.700000	0.942449
IKSHC	hard1	7	0.800000	0.950830
IKSHC	hard1	7	0.900000	0.933527
IKSHC	hard1	13	0.400000	0.945419
IKSHC	hard1	13	0.500000	0.934420
IKSHC	hard1	13	0.600000	0.950898
IKSHC	hard1	13	0.700000	0.936529
IKSHC	hard1	13	0.800000	0.941807
IKSHC	hard1	13	0.900000	0.940571
IKSHC	hard1	15	0.400000	0.929580
IKSHC	hard1	15	0.500000	0.943016
IKSHC	hard1	15	0.600000	0.933926
IKSHC	hard1	15	0.700000	0.942563
IKSHC	hard1	15	0.800000	0.947278
IKSHC	hard1	15	0.900000	0.936779
IKSHC	hard1	17	0.400000	0.940122
IKSHC	hard1	17	0.500000	0.941908
IKSHC	hard1	17	0.600000	0.929348
IKSHC	hard1	17	0.700000	0.936281
IKSHC	hard1	17	0.800000	0.931262
IKSHC	hard1	17	0.900000	0.932027
IKSHC	hard1	21	0.400000	0.927334
IKSHC	hard1	21	0.500000	0.929576
IKSHC	hard1	21	0.600000	0.943778
IKSHC	hard1	21	0.700000	0.950736
IKSHC	hard1	21	0.800000	0.920003
IKSHC	hard1	21	0.900000	0.920938
IKSHC	hard1	25	0.400000	0.940976
IKSHC	hard1	25	0.500000	0.948774
IKSHC	hard1	25	0.600000	0.938239
IKSHC	hard1	25	0.700000	0.937712
IKSHC	hard1	25	0.800000	0.933072
IKSHC	hard1	25	0.900000	0.946597
IKSHC	hard1	3	0.400000	0.959146
IKSHC	hard1	3	0.500000	0.960756
IKSHC	hard1	3	0.600000	0.956768
IKSHC	hard1	3	0.700000	0.957197
IKSHC	hard1	3	0.800000	0.958332
IKSHC	hard1	3	0.900000	0.958043
IKSHC	hard1	5	0.400000	0.953131
IKSHC	hard1	5	0.500000	0.965630
IKSHC	hard1	5	0.600000	0.947327
IKSHC	hard1	5	0.700000	0.959684
IKSHC	hard1	5	0.800000	0.951227
IKSHC	hard1	5	0.900000	0.955419
IKSHC	hard1	7	0.400000	0.951680
IKSHC	hard1	7	0.500000	0.956778
IKSHC	hard1	7	0.600000	0.954404
IKSHC	hard1	7	0.700000	0.951200
IKSHC	hard1	7	0.800000	0.950264
IKSHC	hard1	7	0.900000	0.947189
IKSHC	hard1	13	0.400000	0.948272
