algorithm	dataset	purity
IKSHC	ALLAML	0.726067
PERCH	ALLAML	0.623156
IKSHC	ALLAML	0.7506149999999999
PERCH	ALLAML	0.620314
IKSHC	ALLAML	0.692184
PERCH	ALLAML	0.579256
IKSHC	ALLAML	0.680479
PERCH	ALLAML	0.589359
IKSHC	ALLAML	0.7025319999999999
PERCH	ALLAML	0.567971
IKSHC	ALLAML	0.643373
PERCH	ALLAML	0.711084
IKSHC	ALLAML	0.745693
PERCH	ALLAML	0.639342
IKSHC	ALLAML	0.666203
PERCH	ALLAML	0.6344310000000001
IKSHC	ALLAML	0.679936
PERCH	ALLAML	0.609237
IKSHC	ALLAML	0.779824
PERCH	ALLAML	0.634301
IKSHC	COIL20	0.5559850000000001
PERCH	COIL20	0.5951
IKSHC	COIL20	0.5680689999999999
PERCH	COIL20	0.59014
IKSHC	COIL20	0.5508529999999999
PERCH	COIL20	0.5832510000000001
IKSHC	LandCover	0.533172
PERCH	LandCover	0.488867
IKSHC	LandCover	0.562172
PERCH	LandCover	0.416671
IKSHC	LandCover	0.5512239999999999
PERCH	LandCover	0.446841
IKSHC	LandCover	0.539024
PERCH	LandCover	0.375492
IKSHC	LandCover	0.538575
PERCH	LandCover	0.472923
IKSHC	LandCover	0.571078
PERCH	LandCover	0.413278
IKSHC	LandCover	0.529745
PERCH	LandCover	0.385
IKSHC	LandCover	0.520993
PERCH	LandCover	0.444271
IKSHC	LandCover	0.553193
PERCH	LandCover	0.34365300000000004
IKSHC	LandCover	0.518373
PERCH	LandCover	0.429598
IKSHC	LSVT	0.626685
PERCH	LSVT	0.581674
IKSHC	LSVT	0.650172
PERCH	LSVT	0.618777
IKSHC	LSVT	0.6854439999999999
PERCH	LSVT	0.6106659999999999
IKSHC	LSVT	0.629448
PERCH	LSVT	0.617609
IKSHC	LSVT	0.625718
PERCH	LSVT	0.635644
IKSHC	LSVT	0.656791
PERCH	LSVT	0.605433
IKSHC	LSVT	0.6395430000000001
PERCH	LSVT	0.585268
IKSHC	LSVT	0.6316689999999999
PERCH	LSVT	0.616083
IKSHC	LSVT	0.640031
PERCH	LSVT	0.693719
IKSHC	LSVT	0.6341720000000001
PERCH	LSVT	0.6018140000000001
IKSHC	lung	0.812312
PERCH	lung	0.725392
IKSHC	lung	0.823982
PERCH	lung	0.780203
IKSHC	lung	0.8422379999999999
PERCH	lung	0.8174140000000001
IKSHC	lung	0.865452
PERCH	lung	0.751757
IKSHC	lung	0.866928
PERCH	lung	0.742633
IKSHC	lung	0.925393
PERCH	lung	0.741363
IKSHC	lung	0.884885
PERCH	lung	0.715808
IKSHC	lung	0.8631
PERCH	lung	0.795053
IKSHC	lung	0.8355870000000001
PERCH	lung	0.772472
IKSHC	lung	0.878441
PERCH	lung	0.738796
IKSHC	musk	0.554222
PERCH	musk	0.5542699999999999
IKSHC	musk	0.556856
PERCH	musk	0.5367609999999999
IKSHC	musk	0.552487
PERCH	musk	0.570493
IKSHC	musk	0.551602
PERCH	musk	0.558271
IKSHC	musk	0.547021
PERCH	musk	0.534573
IKSHC	musk	0.548175
PERCH	musk	0.544118
IKSHC	musk	0.543049
PERCH	musk	0.563403
IKSHC	musk	0.557575
PERCH	musk	0.543462
IKSHC	musk	0.547146
PERCH	musk	0.548636
IKSHC	musk	0.558379
PERCH	musk	0.530378
IKSHC	banknote	0.694651
PERCH	banknote	0.662331
IKSHC	banknote	0.770664
PERCH	banknote	0.796016
IKSHC	banknote	0.755523
PERCH	banknote	0.581753
IKSHC	banknote	0.846601
PERCH	banknote	0.659271
IKSHC	banknote	0.706661
PERCH	banknote	0.62846
IKSHC	banknote	0.77389
PERCH	banknote	0.665374
IKSHC	banknote	0.680218
PERCH	banknote	0.588422
IKSHC	banknote	0.76882
PERCH	banknote	0.609514
IKSHC	banknote	0.715541
PERCH	banknote	0.656378
IKSHC	banknote	0.777141
PERCH	banknote	0.6405770000000001
IKSHC	Segment	0.600772
PERCH	Segment	0.566387
IKSHC	Segment	0.607582
PERCH	Segment	0.568416
IKSHC	Segment	0.621092
PERCH	Segment	0.482429
IKSHC	Segment	0.646059
PERCH	Segment	0.500574
IKSHC	Segment	0.604604
PERCH	Segment	0.566254
IKSHC	Segment	0.628471
PERCH	Segment	0.631297
IKSHC	Segment	0.5992930000000001
PERCH	Segment	0.597941
IKSHC	Segment	0.620289
PERCH	Segment	0.551433
IKSHC	Segment	0.6341399999999999
PERCH	Segment	0.624803
IKSHC	Segment	0.617574
PERCH	Segment	0.416458
IKSHC	WDBC	0.913457
