algorithm	dataset	purity
IKSHC	LandCover	0.550142
PERCH	LandCover	0.413692
IKSHC	LandCover	0.582938
PERCH	LandCover	0.437106
IKSHC	LandCover	0.548767
PERCH	LandCover	0.406468
IKSHC	LandCover	0.569556
PERCH	LandCover	0.438663
IKSHC	LandCover	0.575971
PERCH	LandCover	0.413070
IKSHC	LandCover	0.552766
PERCH	LandCover	0.423322
IKSHC	LandCover	0.543490
PERCH	LandCover	0.349426
IKSHC	LandCover	0.537007
PERCH	LandCover	0.400260
IKSHC	LandCover	0.561202
PERCH	LandCover	0.452768
IKSHC	LandCover	0.555552
PERCH	LandCover	0.416856
IKSHC	LSVT	0.678215
PERCH	LSVT	0.618839
IKSHC	LSVT	0.704138
PERCH	LSVT	0.699904
IKSHC	LSVT	0.671626
PERCH	LSVT	0.638668
IKSHC	LSVT	0.659611
PERCH	LSVT	0.686578
IKSHC	LSVT	0.692698
PERCH	LSVT	0.614503
IKSHC	LSVT	0.686358
PERCH	LSVT	0.621678
IKSHC	LSVT	0.672059
PERCH	LSVT	0.637596
IKSHC	LSVT	0.662199
PERCH	LSVT	0.649748
IKSHC	LSVT	0.678759
PERCH	LSVT	0.681338
IKSHC	LSVT	0.656594
PERCH	LSVT	0.603518
IKSHC	lung	0.873641
PERCH	lung	0.680342
IKSHC	lung	0.892309
PERCH	lung	0.826045
IKSHC	lung	0.860416
PERCH	lung	0.730866
IKSHC	lung	0.884411
PERCH	lung	0.728536
IKSHC	lung	0.911012
PERCH	lung	0.749515
IKSHC	lung	0.862667
PERCH	lung	0.756268
IKSHC	lung	0.841717
PERCH	lung	0.701045
IKSHC	lung	0.917904
PERCH	lung	0.788521
IKSHC	lung	0.842318
PERCH	lung	0.703262
IKSHC	lung	0.880065
PERCH	lung	0.721083
IKSHC	musk	0.550940
PERCH	musk	0.551545
IKSHC	musk	0.563597
PERCH	musk	0.551800
IKSHC	musk	0.565670
PERCH	musk	0.540345
IKSHC	musk	0.556689
PERCH	musk	0.563920
IKSHC	musk	0.558678
PERCH	musk	0.560579
IKSHC	musk	0.562219
PERCH	musk	0.553086
IKSHC	musk	0.558780
PERCH	musk	0.532342
IKSHC	musk	0.553320
PERCH	musk	0.545639
IKSHC	musk	0.553483
PERCH	musk	0.550288
IKSHC	musk	0.547394
PERCH	musk	0.531389
IKSHC	pendig	0.647321
PERCH	pendig	0.554777
IKSHC	pendig	0.654663
PERCH	pendig	0.549882
IKSHC	pendig	0.655894
PERCH	pendig	0.562576
IKSHC	pendig	0.649750
PERCH	pendig	0.621857
IKSHC	pendig	0.669793
PERCH	pendig	0.578930
IKSHC	pendig	0.684300
PERCH	pendig	0.596511
IKSHC	pendig	0.672435
PERCH	pendig	0.534628
IKSHC	pendig	0.664740
PERCH	pendig	0.670708
