algorithm	dataset	psi	beta	purity
IKSHC	seeds	3	0.400000	0.767238
IKSHC	seeds	3	0.500000	0.787681
IKSHC	seeds	3	0.600000	0.729654
IKSHC	seeds	3	0.700000	0.774486
IKSHC	seeds	3	0.800000	0.769524
IKSHC	seeds	3	0.900000	0.753603
IKSHC	seeds	5	0.400000	0.783947
IKSHC	seeds	5	0.500000	0.794080
IKSHC	seeds	5	0.600000	0.812832
IKSHC	seeds	5	0.700000	0.737353
IKSHC	seeds	5	0.800000	0.799936
IKSHC	seeds	5	0.900000	0.850820
IKSHC	seeds	7	0.400000	0.843912
IKSHC	seeds	7	0.500000	0.848840
IKSHC	seeds	7	0.600000	0.837225
IKSHC	seeds	7	0.700000	0.833150
IKSHC	seeds	7	0.800000	0.799970
IKSHC	seeds	7	0.900000	0.829048
IKSHC	seeds	13	0.400000	0.805095
IKSHC	seeds	13	0.500000	0.815593
IKSHC	seeds	13	0.600000	0.834166
IKSHC	seeds	13	0.700000	0.813384
IKSHC	seeds	13	0.800000	0.746767
IKSHC	seeds	13	0.900000	0.835000
IKSHC	seeds	15	0.400000	0.830516
IKSHC	seeds	15	0.500000	0.836271
IKSHC	seeds	15	0.600000	0.834942
IKSHC	seeds	15	0.700000	0.806065
IKSHC	seeds	15	0.800000	0.823981
IKSHC	seeds	15	0.900000	0.808587
IKSHC	seeds	17	0.400000	0.807852
IKSHC	seeds	17	0.500000	0.827055
IKSHC	seeds	17	0.600000	0.852787
IKSHC	seeds	17	0.700000	0.834607
IKSHC	seeds	17	0.800000	0.838935
IKSHC	seeds	17	0.900000	0.830745
IKSHC	seeds	21	0.400000	0.840529
IKSHC	seeds	21	0.500000	0.863344
IKSHC	seeds	21	0.600000	0.855446
IKSHC	seeds	21	0.700000	0.827665
IKSHC	seeds	21	0.800000	0.818691
IKSHC	seeds	21	0.900000	0.826292
IKSHC	seeds	25	0.400000	0.820685
IKSHC	seeds	25	0.500000	0.869219
IKSHC	seeds	25	0.600000	0.803067
IKSHC	seeds	25	0.700000	0.836560
IKSHC	seeds	25	0.800000	0.795310
IKSHC	seeds	25	0.900000	0.789849
IKSHC	seeds	3	0.400000	0.783443
IKSHC	seeds	3	0.500000	0.864167
IKSHC	seeds	3	0.600000	0.863250
IKSHC	seeds	3	0.700000	0.823179
IKSHC	seeds	3	0.800000	0.843640
IKSHC	seeds	3	0.900000	0.798365
IKSHC	seeds	5	0.400000	0.840880
IKSHC	seeds	5	0.500000	0.840140
IKSHC	seeds	5	0.600000	0.838996
IKSHC	seeds	5	0.700000	0.829858
IKSHC	seeds	5	0.800000	0.838720
IKSHC	seeds	5	0.900000	0.830721
IKSHC	seeds	7	0.400000	0.816434
IKSHC	seeds	7	0.500000	0.781200
IKSHC	seeds	7	0.600000	0.849539
IKSHC	seeds	7	0.700000	0.834827
IKSHC	seeds	7	0.800000	0.842581
IKSHC	seeds	7	0.900000	0.820871
IKSHC	seeds	13	0.400000	0.793335
IKSHC	seeds	13	0.500000	0.822204
IKSHC	seeds	13	0.600000	0.859406
IKSHC	seeds	13	0.700000	0.820128
IKSHC	seeds	13	0.800000	0.854781
IKSHC	seeds	13	0.900000	0.822609
IKSHC	seeds	15	0.400000	0.815380
IKSHC	seeds	15	0.500000	0.829411
IKSHC	seeds	15	0.600000	0.825368
IKSHC	seeds	15	0.700000	0.821741
IKSHC	seeds	15	0.800000	0.809704
IKSHC	seeds	15	0.900000	0.835297
IKSHC	seeds	17	0.400000	0.797565
IKSHC	seeds	17	0.500000	0.818597
IKSHC	seeds	17	0.600000	0.841116
IKSHC	seeds	17	0.700000	0.842768
IKSHC	seeds	17	0.800000	0.817766
IKSHC	seeds	17	0.900000	0.786088
IKSHC	seeds	21	0.400000	0.764593
IKSHC	seeds	21	0.500000	0.835960
IKSHC	seeds	21	0.600000	0.804962
IKSHC	seeds	21	0.700000	0.812442
IKSHC	seeds	21	0.800000	0.761303
IKSHC	seeds	21	0.900000	0.812306
IKSHC	seeds	25	0.400000	0.794585
IKSHC	seeds	25	0.500000	0.800499
IKSHC	seeds	25	0.600000	0.653694
IKSHC	seeds	25	0.700000	0.791826
IKSHC	seeds	25	0.800000	0.733686
IKSHC	seeds	25	0.900000	0.732703
IKSHC	seeds	3	0.400000	0.782158
IKSHC	seeds	3	0.500000	0.823008
IKSHC	seeds	3	0.600000	0.800285
IKSHC	seeds	3	0.700000	0.754060
IKSHC	seeds	3	0.800000	0.822542
IKSHC	seeds	3	0.900000	0.824119
IKSHC	seeds	5	0.400000	0.795912
IKSHC	seeds	5	0.500000	0.787561
IKSHC	seeds	5	0.600000	0.776347
IKSHC	seeds	5	0.700000	0.790634
IKSHC	seeds	5	0.800000	0.771393
IKSHC	seeds	5	0.900000	0.826442
IKSHC	seeds	7	0.400000	0.815889
IKSHC	seeds	7	0.500000	0.833172
IKSHC	seeds	7	0.600000	0.810020
IKSHC	seeds	7	0.700000	0.789467
IKSHC	seeds	7	0.800000	0.828304
IKSHC	seeds	7	0.900000	0.848585
IKSHC	seeds	13	0.400000	0.834867
IKSHC	seeds	13	0.500000	0.836972
IKSHC	seeds	13	0.600000	0.826989
IKSHC	seeds	13	0.700000	0.827968
IKSHC	seeds	13	0.800000	0.848109
IKSHC	seeds	13	0.900000	0.818446
IKSHC	seeds	15	0.400000	0.819535
IKSHC	seeds	15	0.500000	0.814437
IKSHC	seeds	15	0.600000	0.823395
IKSHC	seeds	15	0.700000	0.746118
IKSHC	seeds	15	0.800000	0.792948
IKSHC	seeds	15	0.900000	0.730339
IKSHC	seeds	17	0.400000	0.737799
IKSHC	seeds	17	0.500000	0.714247
IKSHC	seeds	17	0.600000	0.770170
IKSHC	seeds	17	0.700000	0.856032
IKSHC	seeds	17	0.800000	0.726689
IKSHC	seeds	17	0.900000	0.773132
IKSHC	seeds	21	0.400000	0.711306
IKSHC	seeds	21	0.500000	0.733294
IKSHC	seeds	21	0.600000	0.806116
IKSHC	seeds	21	0.700000	0.734152
IKSHC	seeds	21	0.800000	0.737151
IKSHC	seeds	21	0.900000	0.707920
IKSHC	seeds	25	0.400000	0.725072
IKSHC	seeds	25	0.500000	0.786474
IKSHC	seeds	25	0.600000	0.733354
IKSHC	seeds	25	0.700000	0.736255
IKSHC	seeds	25	0.800000	0.802116
IKSHC	seeds	25	0.900000	0.761412
IKSHC	seeds	3	0.400000	0.829533
IKSHC	seeds	3	0.500000	0.789066
IKSHC	seeds	3	0.600000	0.833239
IKSHC	seeds	3	0.700000	0.800242
IKSHC	seeds	3	0.800000	0.839525
IKSHC	seeds	3	0.900000	0.795981
IKSHC	seeds	5	0.400000	0.804741
IKSHC	seeds	5	0.500000	0.843843
IKSHC	seeds	5	0.600000	0.780300
IKSHC	seeds	5	0.700000	0.790092
IKSHC	seeds	5	0.800000	0.816973
IKSHC	seeds	5	0.900000	0.810092
IKSHC	seeds	7	0.400000	0.784718
IKSHC	seeds	7	0.500000	0.823491
IKSHC	seeds	7	0.600000	0.775628
IKSHC	seeds	7	0.700000	0.841695
IKSHC	seeds	7	0.800000	0.832955
IKSHC	seeds	7	0.900000	0.805943
IKSHC	seeds	13	0.400000	0.760673
IKSHC	seeds	13	0.500000	0.784286
IKSHC	seeds	13	0.600000	0.785011
IKSHC	seeds	13	0.700000	0.804870
IKSHC	seeds	13	0.800000	0.783298
IKSHC	seeds	13	0.900000	0.792685
IKSHC	seeds	15	0.400000	0.781063
IKSHC	seeds	15	0.500000	0.829272
IKSHC	seeds	15	0.600000	0.804502
IKSHC	seeds	15	0.700000	0.765339
IKSHC	seeds	15	0.800000	0.744177
IKSHC	seeds	15	0.900000	0.791101
IKSHC	seeds	17	0.400000	0.786552
IKSHC	seeds	17	0.500000	0.799437
IKSHC	seeds	17	0.600000	0.818247
