dataset	algorithm	purity	clustering_time_elapsed	max_psi	max_rt
pendig_shuffle_0	IKSHC	0.651707	54.881554	25	0.4
pendig_shuffle_1	IKSHC	0.649235	54.970800	15	0.9
pendig_shuffle_2	IKSHC	0.674681	57.795663	25	0.4
pendig_shuffle_3	IKSHC	0.636846	51.345330	21	0.6
pendig_shuffle_4	IKSHC	0.678865	53.469544	25	0.6
pendig_shuffle_5	IKSHC	0.666766	50.190463	25	0.8
pendig_shuffle_6	IKSHC	0.646788	50.111580	15	0.6
pendig_shuffle_7	IKSHC	0.655029	51.797764	25	0.4
pendig_shuffle_8	IKSHC	0.661956	48.742159	25	0.8
pendig_shuffle_9	IKSHC	0.687151	44.241482	25	0.7
