dataset	algorithm	purity	clustering_time_elapsed	max_psi	max_rt
glass_shuffle_0	IKSHC	0.510480	0.315578	3	0.4
glass_shuffle_1	IKSHC	0.502304	0.305096	21	0.9
glass_shuffle_2	IKSHC	0.515807	0.319401	3	0.9
glass_shuffle_3	IKSHC	0.498365	0.308886	3	0.7
glass_shuffle_4	IKSHC	0.504306	0.320871	5	0.4
glass_shuffle_5	IKSHC	0.488156	0.308046	5	0.8
glass_shuffle_6	IKSHC	0.483737	0.299636	25	0.7
glass_shuffle_7	IKSHC	0.515346	0.308477	7	0.8
glass_shuffle_8	IKSHC	0.504103	0.300803	17	0.7
glass_shuffle_9	IKSHC	0.517696	0.295231	3	0.9
