dataset	algorithm	purity	psi	clustering_time_elapsed
shape_shuffle_0	PERCH	0.638384	3.000000	0.816639
shape_shuffle_0	PERCH	0.569094	5.000000	1.064284
shape_shuffle_0	PERCH	0.596150	7.000000	1.424064
shape_shuffle_0	PERCH	0.452572	13.000000	1.883380
shape_shuffle_0	PERCH	0.588722	15.000000	2.394047
shape_shuffle_0	PERCH	0.662611	17.000000	2.965844
shape_shuffle_0	PERCH	0.483444	21.000000	3.665060
shape_shuffle_0	PERCH	0.523830	25.000000	4.634561
shape_shuffle_1	PERCH	0.700069	3.000000	0.180714
shape_shuffle_1	PERCH	0.590459	5.000000	0.416129
shape_shuffle_1	PERCH	0.571195	7.000000	0.699204
shape_shuffle_1	PERCH	0.633752	13.000000	1.168561
shape_shuffle_1	PERCH	0.569948	15.000000	1.731638
shape_shuffle_1	PERCH	0.553056	17.000000	2.322417
shape_shuffle_1	PERCH	0.568006	21.000000	3.026067
shape_shuffle_1	PERCH	0.517023	25.000000	3.895898
shape_shuffle_2	PERCH	0.641588	3.000000	0.188196
shape_shuffle_2	PERCH	0.654965	5.000000	0.420142
shape_shuffle_2	PERCH	0.643547	7.000000	0.716313
shape_shuffle_2	PERCH	0.584316	13.000000	1.222133
shape_shuffle_2	PERCH	0.609489	15.000000	1.799516
shape_shuffle_2	PERCH	0.525555	17.000000	2.459717
shape_shuffle_2	PERCH	0.566864	21.000000	3.229740
shape_shuffle_2	PERCH	0.518118	25.000000	4.240883
shape_shuffle_3	PERCH	0.622984	3.000000	0.199700
shape_shuffle_3	PERCH	0.635661	5.000000	0.460222
shape_shuffle_3	PERCH	0.586780	7.000000	0.770992
shape_shuffle_3	PERCH	0.582714	13.000000	1.285003
shape_shuffle_3	PERCH	0.553209	15.000000	1.812991
shape_shuffle_3	PERCH	0.569588	17.000000	2.401447
shape_shuffle_3	PERCH	0.569472	21.000000	3.077914
shape_shuffle_3	PERCH	0.528913	25.000000	3.960791
shape_shuffle_4	PERCH	0.644430	3.000000	0.203527
shape_shuffle_4	PERCH	0.580285	5.000000	0.470783
shape_shuffle_4	PERCH	0.592427	7.000000	0.787188
shape_shuffle_4	PERCH	0.659561	13.000000	1.362305
shape_shuffle_4	PERCH	0.540577	15.000000	1.924849
shape_shuffle_4	PERCH	0.611027	17.000000	2.519648
shape_shuffle_4	PERCH	0.537531	21.000000	3.259552
shape_shuffle_4	PERCH	0.507580	25.000000	4.217557
shape_shuffle_5	PERCH	0.693377	3.000000	0.203825
shape_shuffle_5	PERCH	0.682780	5.000000	0.467622
shape_shuffle_5	PERCH	0.590872	7.000000	0.798985
shape_shuffle_5	PERCH	0.575077	13.000000	1.326256
shape_shuffle_5	PERCH	0.592403	15.000000	1.865141
shape_shuffle_5	PERCH	0.604346	17.000000	2.461881
shape_shuffle_5	PERCH	0.580019	21.000000	3.202249
shape_shuffle_5	PERCH	0.543665	25.000000	4.064588
shape_shuffle_6	PERCH	0.581726	3.000000	0.203986
shape_shuffle_6	PERCH	0.632769	5.000000	0.447982
shape_shuffle_6	PERCH	0.538276	7.000000	0.788102
shape_shuffle_6	PERCH	0.492462	13.000000	1.262312
shape_shuffle_6	PERCH	0.607012	15.000000	1.850019
shape_shuffle_6	PERCH	0.524169	17.000000	2.515054
shape_shuffle_6	PERCH	0.575736	21.000000	3.318637
shape_shuffle_6	PERCH	0.522737	25.000000	4.145816
shape_shuffle_7	PERCH	0.550673	3.000000	0.192212
shape_shuffle_7	PERCH	0.544500	5.000000	0.443603
shape_shuffle_7	PERCH	0.632793	7.000000	0.754613
shape_shuffle_7	PERCH	0.555237	13.000000	1.209390
shape_shuffle_7	PERCH	0.502548	15.000000	1.762020
shape_shuffle_7	PERCH	0.579320	17.000000	2.349105
shape_shuffle_7	PERCH	0.484023	21.000000	3.130020
shape_shuffle_7	PERCH	0.597588	25.000000	3.992652
shape_shuffle_8	PERCH	0.596732	3.000000	0.210616
shape_shuffle_8	PERCH	0.666139	5.000000	0.469373
shape_shuffle_8	PERCH	0.705353	7.000000	0.792672
shape_shuffle_8	PERCH	0.540831	13.000000	1.277029
shape_shuffle_8	PERCH	0.609815	15.000000	1.853779
shape_shuffle_8	PERCH	0.587291	17.000000	2.480778
shape_shuffle_8	PERCH	0.439062	21.000000	3.220219
shape_shuffle_8	PERCH	0.466564	25.000000	4.196174
shape_shuffle_9	PERCH	0.642850	3.000000	0.199470
shape_shuffle_9	PERCH	0.605084	5.000000	0.455498
shape_shuffle_9	PERCH	0.706928	7.000000	0.786415
shape_shuffle_9	PERCH	0.624663	13.000000	1.273540
shape_shuffle_9	PERCH	0.587723	15.000000	1.863347
shape_shuffle_9	PERCH	0.619206	17.000000	2.546290
shape_shuffle_9	PERCH	0.481722	21.000000	3.385994
shape_shuffle_9	PERCH	0.619131	25.000000	4.296419
