dataset	algorithm	purity	psi	clustering_time_elapsed
vowel_shuffle_0	PERCH	0.211430	3.000000	1.459124
vowel_shuffle_0	PERCH	0.204286	5.000000	3.507866
vowel_shuffle_0	PERCH	0.182962	7.000000	5.998982
vowel_shuffle_0	PERCH	0.184073	13.000000	10.086415
vowel_shuffle_0	PERCH	0.194148	15.000000	14.702558
vowel_shuffle_0	PERCH	0.194608	17.000000	19.723619
vowel_shuffle_0	PERCH	0.224472	21.000000	25.764264
vowel_shuffle_0	PERCH	0.204879	25.000000	33.045392
vowel_shuffle_1	PERCH	0.202830	3.000000	1.481888
vowel_shuffle_1	PERCH	0.219328	5.000000	3.491589
vowel_shuffle_1	PERCH	0.206026	7.000000	6.067779
vowel_shuffle_1	PERCH	0.190078	13.000000	10.268989
vowel_shuffle_1	PERCH	0.204656	15.000000	14.970434
vowel_shuffle_1	PERCH	0.187997	17.000000	20.353916
vowel_shuffle_1	PERCH	0.228500	21.000000	26.456600
vowel_shuffle_1	PERCH	0.194968	25.000000	33.792737
vowel_shuffle_2	PERCH	0.219951	3.000000	1.623392
vowel_shuffle_2	PERCH	0.192311	5.000000	3.720107
vowel_shuffle_2	PERCH	0.173098	7.000000	6.288246
vowel_shuffle_2	PERCH	0.197281	13.000000	10.385809
vowel_shuffle_2	PERCH	0.202437	15.000000	15.146397
vowel_shuffle_2	PERCH	0.197062	17.000000	20.296194
vowel_shuffle_2	PERCH	0.232780	21.000000	26.501089
vowel_shuffle_2	PERCH	0.177257	25.000000	34.051917
vowel_shuffle_3	PERCH	0.205859	3.000000	1.454150
vowel_shuffle_3	PERCH	0.244902	5.000000	3.396752
vowel_shuffle_3	PERCH	0.215046	7.000000	5.932490
vowel_shuffle_3	PERCH	0.195044	13.000000	10.070138
vowel_shuffle_3	PERCH	0.224687	15.000000	14.798043
vowel_shuffle_3	PERCH	0.179446	17.000000	20.211333
vowel_shuffle_3	PERCH	0.186381	21.000000	26.567891
vowel_shuffle_3	PERCH	0.191780	25.000000	33.757528
vowel_shuffle_4	PERCH	0.212853	3.000000	1.444317
vowel_shuffle_4	PERCH	0.189693	5.000000	3.433904
vowel_shuffle_4	PERCH	0.204114	7.000000	6.040521
vowel_shuffle_4	PERCH	0.182643	13.000000	10.233854
vowel_shuffle_4	PERCH	0.193562	15.000000	15.008514
vowel_shuffle_4	PERCH	0.176055	17.000000	20.055212
vowel_shuffle_4	PERCH	0.162943	21.000000	26.075852
vowel_shuffle_4	PERCH	0.163115	25.000000	33.277519
vowel_shuffle_5	PERCH	0.209664	3.000000	1.458376
vowel_shuffle_5	PERCH	0.230747	5.000000	3.497242
vowel_shuffle_5	PERCH	0.177295	7.000000	6.035864
vowel_shuffle_5	PERCH	0.219484	13.000000	10.161931
vowel_shuffle_5	PERCH	0.197847	15.000000	14.949184
vowel_shuffle_5	PERCH	0.198768	17.000000	20.098716
vowel_shuffle_5	PERCH	0.244264	21.000000	26.370181
vowel_shuffle_5	PERCH	0.207578	25.000000	33.749554
vowel_shuffle_6	PERCH	0.201900	3.000000	1.468190
vowel_shuffle_6	PERCH	0.219203	5.000000	3.487807
vowel_shuffle_6	PERCH	0.188908	7.000000	6.028965
vowel_shuffle_6	PERCH	0.193378	13.000000	10.146805
vowel_shuffle_6	PERCH	0.209525	15.000000	14.907641
vowel_shuffle_6	PERCH	0.192673	17.000000	20.003067
vowel_shuffle_6	PERCH	0.175984	21.000000	26.482714
vowel_shuffle_6	PERCH	0.198141	25.000000	33.857441
vowel_shuffle_7	PERCH	0.185291	3.000000	1.443808
vowel_shuffle_7	PERCH	0.191508	5.000000	3.481626
vowel_shuffle_7	PERCH	0.234316	7.000000	5.986116
vowel_shuffle_7	PERCH	0.210834	13.000000	10.251695
vowel_shuffle_7	PERCH	0.196659	15.000000	14.850136
vowel_shuffle_7	PERCH	0.222748	17.000000	20.336085
vowel_shuffle_7	PERCH	0.214895	21.000000	26.637899
vowel_shuffle_7	PERCH	0.172915	25.000000	34.238942
vowel_shuffle_8	PERCH	0.224486	3.000000	1.473801
vowel_shuffle_8	PERCH	0.187757	5.000000	3.593576
vowel_shuffle_8	PERCH	0.180011	7.000000	6.391792
vowel_shuffle_8	PERCH	0.184020	13.000000	10.536263
vowel_shuffle_8	PERCH	0.202763	15.000000	15.235532
vowel_shuffle_8	PERCH	0.205731	17.000000	20.394755
vowel_shuffle_8	PERCH	0.197309	21.000000	26.532019
vowel_shuffle_8	PERCH	0.209417	25.000000	33.806565
vowel_shuffle_9	PERCH	0.203048	3.000000	1.428081
vowel_shuffle_9	PERCH	0.204090	5.000000	3.485371
vowel_shuffle_9	PERCH	0.210555	7.000000	6.064595
vowel_shuffle_9	PERCH	0.217875	13.000000	10.147733
vowel_shuffle_9	PERCH	0.195485	15.000000	14.850812
vowel_shuffle_9	PERCH	0.212194	17.000000	20.159718
vowel_shuffle_9	PERCH	0.195631	21.000000	26.364325
vowel_shuffle_9	PERCH	0.210432	25.000000	33.561666
