dataset	algorithm	purity	psi	clustering_time_elapsed
diabetes_shuffle_0	PERCH	0.605502	3.000000	1.689548
diabetes_shuffle_0	PERCH	0.574427	5.000000	3.912055
diabetes_shuffle_0	PERCH	0.568270	7.000000	6.725469
diabetes_shuffle_0	PERCH	0.574654	13.000000	11.629879
diabetes_shuffle_0	PERCH	0.589443	15.000000	17.461308
diabetes_shuffle_0	PERCH	0.589201	17.000000	23.554758
diabetes_shuffle_0	PERCH	0.560090	21.000000	30.640950
diabetes_shuffle_0	PERCH	0.575058	25.000000	38.913643
diabetes_shuffle_1	PERCH	0.615492	3.000000	1.605887
diabetes_shuffle_1	PERCH	0.587682	5.000000	3.651759
diabetes_shuffle_1	PERCH	0.601564	7.000000	6.405927
diabetes_shuffle_1	PERCH	0.576448	13.000000	11.805543
diabetes_shuffle_1	PERCH	0.587117	15.000000	17.940412
diabetes_shuffle_1	PERCH	0.589699	17.000000	24.628035
diabetes_shuffle_1	PERCH	0.565939	21.000000	33.282696
diabetes_shuffle_1	PERCH	0.560545	25.000000	42.737493
diabetes_shuffle_2	PERCH	0.594317	3.000000	1.427896
diabetes_shuffle_2	PERCH	0.572502	5.000000	3.357797
diabetes_shuffle_2	PERCH	0.567515	7.000000	6.060782
diabetes_shuffle_2	PERCH	0.585231	13.000000	10.736728
diabetes_shuffle_2	PERCH	0.585376	15.000000	15.867009
diabetes_shuffle_2	PERCH	0.568113	17.000000	21.930861
diabetes_shuffle_2	PERCH	0.565010	21.000000	28.568608
diabetes_shuffle_2	PERCH	0.559244	25.000000	37.386752
diabetes_shuffle_3	PERCH	0.594818	3.000000	1.604728
diabetes_shuffle_3	PERCH	0.591276	5.000000	3.717773
diabetes_shuffle_3	PERCH	0.600206	7.000000	6.676475
diabetes_shuffle_3	PERCH	0.584674	13.000000	11.433847
diabetes_shuffle_3	PERCH	0.572472	15.000000	16.760320
diabetes_shuffle_3	PERCH	0.584926	17.000000	22.406609
diabetes_shuffle_3	PERCH	0.570555	21.000000	31.179517
diabetes_shuffle_3	PERCH	0.551480	25.000000	39.688086
diabetes_shuffle_4	PERCH	0.584802	3.000000	1.395170
diabetes_shuffle_4	PERCH	0.584833	5.000000	3.403194
diabetes_shuffle_4	PERCH	0.571365	7.000000	6.201957
diabetes_shuffle_4	PERCH	0.566531	13.000000	10.928564
diabetes_shuffle_4	PERCH	0.608392	15.000000	16.287794
diabetes_shuffle_4	PERCH	0.575546	17.000000	22.114805
diabetes_shuffle_4	PERCH	0.559894	21.000000	29.513327
diabetes_shuffle_4	PERCH	0.556078	25.000000	38.898232
diabetes_shuffle_5	PERCH	0.584080	3.000000	1.402497
diabetes_shuffle_5	PERCH	0.591115	5.000000	3.569642
diabetes_shuffle_5	PERCH	0.588429	7.000000	6.559442
diabetes_shuffle_5	PERCH	0.605668	13.000000	11.616418
diabetes_shuffle_5	PERCH	0.580771	15.000000	17.756976
diabetes_shuffle_5	PERCH	0.576283	17.000000	24.690182
diabetes_shuffle_5	PERCH	0.581784	21.000000	33.137107
diabetes_shuffle_5	PERCH	0.569309	25.000000	42.007003
diabetes_shuffle_6	PERCH	0.612405	3.000000	1.637114
diabetes_shuffle_6	PERCH	0.608720	5.000000	3.815790
diabetes_shuffle_6	PERCH	0.588641	7.000000	6.854355
diabetes_shuffle_6	PERCH	0.581828	13.000000	12.092125
diabetes_shuffle_6	PERCH	0.600633	15.000000	18.014657
diabetes_shuffle_6	PERCH	0.616284	17.000000	24.268237
diabetes_shuffle_6	PERCH	0.583775	21.000000	32.293923
diabetes_shuffle_6	PERCH	0.577212	25.000000	40.871177
diabetes_shuffle_7	PERCH	0.566100	3.000000	1.560129
diabetes_shuffle_7	PERCH	0.584037	5.000000	4.060177
diabetes_shuffle_7	PERCH	0.582415	7.000000	7.140490
diabetes_shuffle_7	PERCH	0.573728	13.000000	12.372100
diabetes_shuffle_7	PERCH	0.579716	15.000000	18.102044
diabetes_shuffle_7	PERCH	0.584348	17.000000	25.170366
diabetes_shuffle_7	PERCH	0.582442	21.000000	33.362126
diabetes_shuffle_7	PERCH	0.577091	25.000000	42.021721
diabetes_shuffle_8	PERCH	0.609420	3.000000	1.552144
diabetes_shuffle_8	PERCH	0.589726	5.000000	3.774013
diabetes_shuffle_8	PERCH	0.577380	7.000000	6.512594
diabetes_shuffle_8	PERCH	0.576846	13.000000	11.664076
diabetes_shuffle_8	PERCH	0.569604	15.000000	17.393763
diabetes_shuffle_8	PERCH	0.598850	17.000000	22.844437
diabetes_shuffle_8	PERCH	0.566917	21.000000	30.661269
diabetes_shuffle_8	PERCH	0.576488	25.000000	38.983309
diabetes_shuffle_9	PERCH	0.602722	3.000000	1.372839
diabetes_shuffle_9	PERCH	0.572301	5.000000	3.383161
diabetes_shuffle_9	PERCH	0.575658	7.000000	5.921134
diabetes_shuffle_9	PERCH	0.581551	13.000000	10.546649
diabetes_shuffle_9	PERCH	0.568334	15.000000	15.932383
diabetes_shuffle_9	PERCH	0.571592	17.000000	21.909037
diabetes_shuffle_9	PERCH	0.558644	21.000000	29.574921
diabetes_shuffle_9	PERCH	0.618851	25.000000	39.338284
